dataset,seed,proposed,baseline,metric,diff_mean,ci_low,ci_high
cmapss_fd001,3,proposed_lite,timesnet,auc_roc,-0.0040369398393671,-0.0071268389251057,-0.0014277226670131
cmapss_fd001,3,proposed_lite,timesnet,auc_pr,-0.1035790857315188,-0.1843154868960141,-0.0382078505959471
cmapss_fd001,4,full,lstm,f2,0.0053581753122848,-0.0589489282231132,0.0692508034792147
cmapss_fd001,4,full,lstm,auc_roc,-0.0015040639518457,-0.0037907058016594,0.0006571770762408
cmapss_fd001,4,full,lstm,auc_pr,-0.0500972062127029,-0.0966334834135227,-0.0088772236118372
cmapss_fd001,4,full,tcn,f2,-0.0393643770671026,-0.0967844363966619,0.00650546497687
cmapss_fd001,4,full,tcn,auc_roc,-0.0041524289051972,-0.0079011088611718,-0.0010399575006654
cmapss_fd001,4,full,tcn,auc_pr,-0.0903172109906909,-0.1611949954406257,-0.035371739658683
cmapss_fd001,4,full,timesnet,f2,-0.0058254291597052,-0.0757436097106056,0.061296792918553
cmapss_fd001,4,full,timesnet,auc_roc,-0.002863312588572,-0.0055035719441637,-0.0004059462819375
cmapss_fd001,4,full,timesnet,auc_pr,-0.0673587147335314,-0.1393562822654008,-0.0061949718427711
cmapss_fd001,4,proposed_lite,lstm,f2,-0.0155473291921345,-0.0654809765725304,0.041603310100955
cmapss_fd001,4,proposed_lite,lstm,auc_roc,-0.001810694589315,-0.0039586000141439,0.0001663055663157
cmapss_fd001,4,proposed_lite,lstm,auc_pr,-0.0466114337023381,-0.0986963150728531,-0.0071250742140993
cmapss_fd001,4,proposed_lite,tcn,f2,-0.060269881571522,-0.1002802758098395,-0.0206825948944031
cmapss_fd001,4,proposed_lite,tcn,auc_roc,-0.0044590595426666,-0.0078078899097169,-0.0017580338029875
cmapss_fd001,4,proposed_lite,tcn,auc_pr,-0.0868314384803262,-0.1466971230017016,-0.042122344040441
cmapss_fd001,4,proposed_lite,timesnet,f2,-0.0267309336641246,-0.0830870075538311,0.0351405189841768
cmapss_fd001,4,proposed_lite,timesnet,auc_roc,-0.0031699432260414,-0.0053713774548673,-0.0011698274985358
cmapss_fd001,4,proposed_lite,timesnet,auc_pr,-0.0638729422231666,-0.1293865784979435,-0.0076025215528027
cmapss_fd001,5,full,lstm,f2,0.0774421185956441,0.0080455497996266,0.1565677182711207
cmapss_fd001,5,full,lstm,auc_roc,-0.0008489905779991,-0.0033571284886795,0.0013942045405134
cmapss_fd001,5,full,lstm,auc_pr,-0.0556031309409493,-0.1656285087330407,0.0249723811548265
cmapss_fd001,5,full,tcn,f2,0.0358152504875778,-0.0062812880909494,0.0802055926310064
cmapss_fd001,5,full,tcn,auc_roc,-0.0006338248807913,-0.0043916758686495,0.0027995421835387
cmapss_fd001,5,full,tcn,auc_pr,-0.0523360499522998,-0.1775744912223798,0.0334057651809437
cmapss_fd001,5,full,timesnet,f2,-0.0021457869840294,-0.0529688652362694,0.0517660844564392
cmapss_fd001,5,full,timesnet,auc_roc,-0.0030990081538561,-0.0062225070530835,-0.0006320165305072
cmapss_fd001,5,full,timesnet,auc_pr,-0.0888436965806359,-0.2106048096972713,-0.0084810547595364
cmapss_fd001,5,proposed_lite,lstm,f2,0.0314936946326546,-0.0437919356589466,0.1142338651774005
cmapss_fd001,5,proposed_lite,lstm,auc_roc,-0.0047918252640747,-0.0086406982353498,-0.0018701659708485
cmapss_fd001,5,proposed_lite,lstm,auc_pr,-0.1179398238588102,-0.1861167805407672,-0.0560026654525053
cmapss_fd001,5,proposed_lite,tcn,f2,-0.0101331734754116,-0.044688688835567,0.0240142531318709
cmapss_fd001,5,proposed_lite,tcn,auc_roc,-0.0045766595668669,-0.010360160385177,-2.162329379613548e-05
cmapss_fd001,5,proposed_lite,tcn,auc_pr,-0.1146727428701606,-0.2119534419925142,-0.0283345218011373
cmapss_fd001,5,proposed_lite,timesnet,f2,-0.0480942109470189,-0.0984848143731282,0.0060291525468246
cmapss_fd001,5,proposed_lite,timesnet,auc_roc,-0.0070418428399318,-0.012671760892735,-0.0030023558297295
cmapss_fd001,5,proposed_lite,timesnet,auc_pr,-0.1511803894984968,-0.2395102410438035,-0.0729250806728917
cmapss_fd003,1,full,lstm,f2,-0.013796487972495,-0.0367579853524038,0.0060063561681823
cmapss_fd003,1,full,lstm,auc_roc,-0.0003297372086655,-0.0010357436169276,0.0002692389176633
cmapss_fd003,1,full,lstm,auc_pr,-0.0090901879477697,-0.0428270257960627,0.0172169926022754
cmapss_fd003,1,full,tcn,f2,0.0067400558200531,-0.0414243679972592,0.0529917246042056
cmapss_fd003,1,full,tcn,auc_roc,0.0012295946643175,-0.0007038227703072,0.0044012665243406
cmapss_fd003,1,full,tcn,auc_pr,-0.0139288180682914,-0.0657397915379742,0.0273019651704831
cmapss_fd003,1,full,timesnet,f2,0.0027930196817068,-0.0279614982130286,0.0306183452317278
cmapss_fd003,1,full,timesnet,auc_roc,-0.0005041469771236,-0.0014928688367713,0.0002757862429492
cmapss_fd003,1,full,timesnet,auc_pr,-0.027581920474234,-0.0694302738335555,0.0072658627293015
cmapss_fd003,1,proposed_lite,lstm,f2,-0.0529950008218056,-0.0960086995969875,-0.0211437777961435
cmapss_fd003,1,proposed_lite,lstm,auc_roc,-0.0058793966236513,-0.0156954823707393,-0.0005977298802113
cmapss_fd003,1,proposed_lite,lstm,auc_pr,-0.0895128479652208,-0.1637064333152595,-0.0113393591168908
cmapss_fd003,1,proposed_lite,tcn,f2,-0.0324584570292574,-0.0883590079281889,0.0175063368062413
cmapss_fd003,1,proposed_lite,tcn,auc_roc,-0.0043200647506681,-0.0107077863604242,-0.0006510675469871
cmapss_fd003,1,proposed_lite,tcn,auc_pr,-0.0943514780857425,-0.1584838865711609,-0.0332255233173808
cmapss_fd003,1,proposed_lite,timesnet,f2,-0.0364054931676037,-0.0885126696923784,0.0024512837601368
cmapss_fd003,1,proposed_lite,timesnet,auc_roc,-0.0060538063921093,-0.0162179948546885,-0.0006211674138872
cmapss_fd003,1,proposed_lite,timesnet,auc_pr,-0.1080045804916851,-0.1825140567173352,-0.0407779524386301
cmapss_fd003,2,full,lstm,f2,-0.0354327844200707,-0.0712684447280019,-0.0054436619110431
cmapss_fd003,2,full,lstm,auc_roc,-0.0076120740656639,-0.025785270863388,0.0003895928404064
cmapss_fd003,2,full,lstm,auc_pr,-0.0147557231087028,-0.061337633608699,0.018205531458471
cmapss_fd003,2,full,tcn,f2,-0.0171001122684081,-0.0580029043186679,0.0233668189308005
cmapss_fd003,2,full,tcn,auc_roc,-0.0065629322693008,-0.0233890275436555,0.0010598963218962
cmapss_fd003,2,full,tcn,auc_pr,0.0067270017890046,-0.03387706765716,0.0453213503142894
cmapss_fd003,2,full,timesnet,f2,-0.0304901075257109,-0.0829056753730596,0.0041980797945308
cmapss_fd003,2,full,timesnet,auc_roc,-0.0078380043585991,-0.0260691535621322,0.0002787040503154
cmapss_fd003,2,full,timesnet,auc_pr,-0.0249208567804957,-0.0766317626381287,0.0111620539685032
cmapss_fd003,2,proposed_lite,lstm,f2,-0.0531241929135271,-0.1124819419169317,-0.0080511398355169
cmapss_fd003,2,proposed_lite,lstm,auc_roc,-0.0044157037041916,-0.0112616607051386,-0.000631914443802
cmapss_fd003,2,proposed_lite,lstm,auc_pr,-0.0630097878518496,-0.1039244584988341,-0.0252362489137908
cmapss_fd003,2,proposed_lite,tcn,f2,-0.0347915207618645,-0.1028578342133642,0.0176964260884292
cmapss_fd003,2,proposed_lite,tcn,auc_roc,-0.0033665619078285,-0.0089056105880571,-8.615687045861455e-05
cmapss_fd003,2,proposed_lite,tcn,auc_pr,-0.0415270629541421,-0.0935577232214512,0.0061027288087695
cmapss_fd003,2,proposed_lite,timesnet,f2,-0.0481815160191673,-0.1173067988662685,0.0063614596914267
