dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
ur3,full,4,high,0.1,1,-0.0024183476343750954,0.012943573296070099
ur3,full,4,low,0.1,1,0.01800018548965454,0.06878702342510223
ur3,full,4,random,0.1,1,-0.0006355782970786095,0.061096448451280594
ur3,full,4,high,0.2,2,-0.004942277446389198,0.030073730275034904
ur3,full,4,low,0.2,2,0.035436224192380905,0.09828008711338043
ur3,full,4,random,0.2,2,0.010040546767413616,0.0917646661400795
ur3,full,4,high,0.3,3,-0.007095671724528074,0.05314164236187935
ur3,full,4,low,0.3,3,0.05253208428621292,0.12443412840366364
ur3,full,4,random,0.3,3,0.020454848185181618,0.12028032541275024
ur3,full,4,high,0.4,4,-0.009390666149556637,0.08168197423219681
ur3,full,4,low,0.4,4,0.07381892204284668,0.156289741396904
ur3,full,4,random,0.4,4,0.031145930290222168,0.13272486627101898
ur3,full,4,high,0.5,5,-0.01212744414806366,0.11257251352071762
ur3,full,4,low,0.5,5,0.08382721245288849,0.1812857836484909
ur3,full,4,random,0.5,5,0.028232533484697342,0.15132322907447815
ur3,full,4,high,0.6,6,-0.012104474939405918,0.14591734111309052
ur3,full,4,low,0.6,6,0.09008213877677917,0.19767403602600098
ur3,full,4,random,0.6,6,0.05288271978497505,0.1725551337003708
ur3,full,4,high,0.7,7,-0.0006080297171138227,0.17669959366321564
ur3,full,4,low,0.7,7,0.09425769746303558,0.20741088688373566
ur3,full,4,random,0.7,7,0.04971929267048836,0.18109704554080963
ur3,full,4,high,0.8,8,0.025892142206430435,0.20297981798648834
ur3,full,4,low,0.8,8,0.09689150005578995,0.21536602079868317
ur3,full,4,random,0.8,8,0.07167056947946548,0.1983204036951065
ur3,full,4,high,0.9,9,0.06645120680332184,0.21945416927337646
ur3,full,4,low,0.9,9,0.09777959436178207,0.21969303488731384
ur3,full,4,random,0.9,9,0.08140517771244049,0.21080006659030914
ur3,full,4,high,1.0,10,0.09289919584989548,0.22123263776302338
ur3,full,4,low,1.0,10,0.09289919584989548,0.22123263776302338
ur3,full,4,random,1.0,10,0.09289919584989548,0.22123263776302338
ur3,full,4,randomized_attn,0.1,1,0.01948496140539646,0.06166109815239906
ur3,full,4,randomized_attn,0.2,2,0.03623651713132858,0.0907026156783104
ur3,full,4,randomized_attn,0.3,3,0.03797848895192146,0.11651524901390076
ur3,full,4,randomized_attn,0.4,4,0.06158071756362915,0.13688579201698303
ur3,full,4,randomized_attn,0.5,5,0.07227442413568497,0.16370789706707
ur3,full,4,randomized_attn,0.6,6,0.07013598829507828,0.18724563717842102
ur3,full,4,randomized_attn,0.7,7,0.06845316290855408,0.20179250836372375
ur3,full,4,randomized_attn,0.8,8,0.07384517043828964,0.20638003945350647
ur3,full,4,randomized_attn,0.9,9,0.08246644586324692,0.2021743357181549
ur3,full,4,randomized_attn,1.0,10,0.09289919584989548,0.22123263776302338
ur3,full,5,high,0.1,1,-0.006501407828181982,0.05264822021126747
ur3,full,5,low,0.1,1,0.000215574968024157,0.13566303253173828
ur3,full,5,random,0.1,1,0.0006367660243995488,0.10502137988805771
ur3,full,5,high,0.2,2,-0.018986273556947708,0.09267854690551758
ur3,full,5,low,0.2,2,-0.0018446249887347221,0.20685026049613953
ur3,full,5,random,0.2,2,0.0100017748773098,0.1654820591211319
ur3,full,5,high,0.3,3,-0.014847662299871445,0.12149608880281448
ur3,full,5,low,0.3,3,0.015527092851698399,0.2693386673927307
ur3,full,5,random,0.3,3,0.020271552726626396,0.19725580513477325
ur3,full,5,high,0.4,4,-0.010630419477820396,0.1469895988702774
ur3,full,5,low,0.4,4,0.08655951917171478,0.32620400190353394
ur3,full,5,random,0.4,4,0.01932249777019024,0.22944435477256775
ur3,full,5,high,0.5,5,0.005371467676013708,0.1772521287202835
ur3,full,5,low,0.5,5,0.13923074305057526,0.35828569531440735
ur3,full,5,random,0.5,5,0.011592991650104523,0.2663179636001587
