dataset,model,seed,params,threshold,f2,auc_roc,auc_pr,brier,ece
xjtu,lite_w_o_mc_dropout,5,21754,0.77,0.5320247933884298,0.6584052017302827,0.4984598323416076,0.2282433159158181,0.2018132477253675
xjtu,lite_w_o_mc_dropout,6,21754,0.7000000000000001,0.5645981688708036,0.6666485295317899,0.5103215892120619,0.2311630350114307,0.2903073100373149
xjtu,lite_w_o_mc_dropout,7,21754,0.95,0.0627615062761506,0.651504021909659,0.3785450649655806,0.2935467185111697,0.2847329213935882
xjtu,lite_w_o_mc_dropout,8,21754,0.74,0.5347871235721703,0.669178659847104,0.6111837415607372,0.2782847691475115,0.2704261443018913
xjtu,lite_w_o_mc_dropout,9,21754,0.87,0.5509783728115345,0.7863536197186931,0.3999569306728847,0.2449461925903617,0.2649851756542921
xjtu,lite_w_o_mc_dropout,10,21754,0.88,0.5170630816959669,0.703874998866429,0.4323121514277757,0.2568064572647879,0.2053330542892217
ur3,lite_w_o_attention,1,24442,0.16,0.7216494845360825,0.8444788508431892,0.7611954679376574,0.1683223036152779,0.1484058133181158
ur3,lite_w_o_attention,2,24442,0.27,0.7731694828469022,0.8764831419213225,0.793047614456091,0.16149812724411414,0.15648745560476968
ur3,lite_w_o_attention,3,24442,0.3,0.7473982970671712,0.8530115531952933,0.7612124490738952,0.1871531210185427,0.2256438063444398
ur3,lite_w_o_attention,4,24442,0.32,0.7386910490856593,0.7995024175355973,0.6661837868384713,0.20576003113556332,0.2264516422300474
ur3,lite_w_o_attention,5,24442,0.3,0.7534246575342466,0.8867809686119807,0.8229927389887148,0.14602714069751435,0.10643590697424207
ur3,lite_w_o_attention,6,24442,0.33,0.7539041464728056,0.8617306587641848,0.7808370630219431,0.16483403040153688,0.13836646796673113
ur3,lite_w_o_attention,7,24442,0.19,0.7093700370566437,0.8224566422313606,0.7291634483495508,0.18740679345977315,0.15018126760867048
ur3,lite_w_o_attention,8,24442,0.33,0.7272727272727273,0.8446690582072576,0.774481771813208,0.19621471641037594,0.16784635761171474
ur3,lite_w_o_attention,9,24442,0.25,0.7548658600736454,0.8661092322850373,0.78681856194141,0.15858694556270495,0.13858131242664992
ur3,lite_w_o_attention,10,24442,0.4,0.7142857142857143,0.850782322888413,0.7726559447022427,0.18499528700943677,0.16519977429102287
ur3,lite_w_o_mc_dropout,1,24442,0.27,0.7064650677789364,0.8181237184778846,0.7497097985750651,0.21915030314298617,0.21995422015864904
ur3,lite_w_o_mc_dropout,2,24442,0.25,0.7386363636363636,0.8019446800902343,0.6903485174798766,0.19409827816188946,0.19084446214086617
ur3,lite_w_o_mc_dropout,3,24442,0.2,0.7277694982613016,0.8394611805790674,0.7753315547534317,0.17516171135674502,0.15620079136565856
ur3,lite_w_o_mc_dropout,4,24442,0.16,0.6933333333333334,0.8181998014235119,0.729355272383367,0.15799991465368018,0.0990826236381334
ur3,lite_w_o_mc_dropout,5,24442,0.14,0.7409133271202236,0.8353184641896596,0.7426275608085181,0.21651715852378076,0.21412885968461104
ur3,lite_w_o_mc_dropout,6,24442,0.24000000000000002,0.6766719325961033,0.8020321754777058,0.6916419936007964,0.16045916721621667,0.08872776079579449
ur3,lite_w_o_mc_dropout,7,24442,0.28,0.6929955290611028,0.7992247147840574,0.7224187618543452,0.19345223128604272,0.18992802091207064
ur3,lite_w_o_mc_dropout,8,24442,0.19,0.7306459001374256,0.8070574540363905,0.7226198191661888,0.22004651787096605,0.223766310431116
ur3,lite_w_o_mc_dropout,9,24442,0.22,0.6931997891407485,0.8193106124296708,0.754415850077614,0.14603816236834438,0.08464702634233322
ur3,lite_w_o_mc_dropout,10,24442,0.12,0.7199256850905713,0.8209311791715328,0.7386010283563913,0.15156823206462428,0.09028343841803414
