dataset,seed,configuration,attention,mc_inference,threshold,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece
xjtu,2,attention_mc,True,True,0.76,800,177,623,0.71625,0.40458015267175573,0.5988700564971752,0.48291571753986334,0.5463917525773195,0.6881954457654326,0.48005458432173304,0.2170157576272669,0.18108542429283261
xjtu,2,no_attention_mc,False,True,0.79,800,177,623,0.7225,0.42160278745644597,0.6836158192090396,0.521551724137931,0.6080402010050251,0.7121772723562859,0.4286324065465264,0.2939156581923615,0.2691636651940643
xjtu,2,attention_no_mc,True,False,0.75,800,177,623,0.715,0.40229885057471265,0.5932203389830508,0.4794520547945205,0.541795665634675,0.666403678210953,0.5628431577312529,0.20928805940937487,0.17384710200130937
xjtu,2,no_attention_no_mc,False,False,0.78,800,177,623,0.7225,0.42214532871972316,0.6892655367231638,0.5236051502145923,0.6118355065195586,0.7155734508619672,0.4557387774514027,0.2934544424099177,0.2686116619408131
xjtu,3,attention_mc,True,True,0.77,800,177,623,0.70625,0.39338235294117646,0.6045197740112994,0.4766146993318486,0.5459183673469388,0.6643179077001207,0.46898613490744134,0.25682291411606767,0.2865687394887209
xjtu,3,no_attention_mc,False,True,0.81,800,177,623,0.7175,0.4128113879003559,0.655367231638418,0.5065502183406113,0.5864509605662285,0.6800518722057477,0.40005576182383207,0.26190633141509856,0.28995575416833164
xjtu,3,attention_no_mc,True,False,0.78,800,177,623,0.68625,0.3706293706293706,0.5988700564971752,0.45788336933045354,0.5331991951710262,0.6615882689011616,0.5149941150078843,0.27089591774937705,0.30389455549418926
xjtu,3,no_attention_no_mc,False,False,0.81,800,177,623,0.69,0.38436482084690554,0.6666666666666666,0.48760330578512395,0.5812807881773399,0.6824369054420472,0.4061428364070424,0.2951044033831034,0.3212078081257641
xjtu,4,attention_mc,True,True,0.8,800,177,623,0.62,0.3211267605633803,0.6440677966101694,0.42857142857142855,0.5362182502351834,0.6424807973084492,0.4431674203539265,0.37629350845088283,0.43309239625930784
xjtu,4,no_attention_mc,False,True,0.79,800,177,623,0.61375,0.328125,0.711864406779661,0.44919786096256686,0.5769230769230769,0.6688068485821296,0.4105271875758968,0.35677299283174885,0.4137171812728047
xjtu,4,attention_no_mc,True,False,0.81,800,177,623,0.63125,0.32748538011695905,0.632768361581921,0.43159922928709055,0.5333333333333333,0.6541611121691107,0.5959685463903407,0.37617576835099276,0.434684319794178
xjtu,4,no_attention_no_mc,False,False,0.79,800,177,623,0.65625,0.36,0.711864406779661,0.4781783681214421,0.5954631379962193,0.7226786734499551,0.6008340588050131,0.32769488485083814,0.3902665727213025
xjtu,5,attention_mc,True,True,0.76,800,177,623,0.71125,0.3953488372093023,0.576271186440678,0.4689655172413793,0.5279503105590062,0.6677548947592749,0.5021157673888219,0.2229640016926123,0.192251749150455
xjtu,5,no_attention_mc,False,True,0.8200000000000001,800,177,623,0.715,0.4072727272727273,0.632768361581921,0.49557522123893805,0.5696846388606307,0.6988328753706777,0.45280833440193297,0.2245940082373903,0.20835563430562615
xjtu,5,attention_no_mc,True,False,0.77,800,177,623,0.71125,0.39615384615384613,0.5819209039548022,0.47139588100686497,0.5320247933884298,0.6584052017302827,0.4984598323416076,0.2282433159158181,0.20181324772536752
xjtu,5,no_attention_no_mc,False,False,0.8200000000000001,800,177,623,0.71625,0.40942028985507245,0.6384180790960452,0.4988962472406181,0.5741869918699187,0.7300559530610948,0.5159263272849004,0.22942563663835322,0.20973084833472966
ur3,1,attention_mc,True,True,0.14,1128,329,799,0.5540780141843972,0.38552631578947366,0.8905775075987842,0.5381083562901745,0.7056840077071291,0.8215588634729583,0.7585288567735646,0.21383776004038357,0.20968242656730168
ur3,1,no_attention_mc,False,True,0.19,1128,329,799,0.6586879432624113,0.4542483660130719,0.8449848024316109,0.5908607863974495,0.720954356846473,0.8441478900297104,0.7611072799309996,0.16743965359508758,0.14676735048340833
ur3,1,attention_no_mc,True,False,0.27,1128,329,799,0.6551418439716312,0.45016611295681064,0.8237082066869301,0.5821697099892589,0.7064650677789364,0.8181237184778846,0.7497097985750651,0.21915030314298617,0.21995422015864904
ur3,1,no_attention_no_mc,False,False,0.22,1128,329,799,0.6843971631205674,0.47700170357751276,0.851063829787234,0.611353711790393,0.7356805044666316,0.8545256038132772,0.7763249063661898,0.1641879214925556,0.13398779723925372
ur3,2,attention_mc,True,True,0.08,1128,329,799,0.6125886524822695,0.42219020172910665,0.8905775075987842,0.5728250244379277,0.7288557213930348,0.8481993068843654,0.7860301234978366,0.1832610664866742,0.1628492243971068
ur3,2,no_attention_mc,False,True,0.27,1128,329,799,0.6773049645390071,0.4725274725274725,0.9148936170212766,0.6231884057971014,0.7706093189964157,0.8763576050610375,0.7939288049322203,0.1613914269967487,0.1579404106390075
ur3,2,attention_no_mc,True,False,0.25,1128,329,799,0.5558510638297872,0.39195979899497485,0.9483282674772037,0.5546666666666666,0.7386363636363636,0.8019446800902343,0.6903485174798766,0.19409827816188946,0.19084446214086617
ur3,2,no_attention_no_mc,False,False,0.09999999999999999,1128,329,799,0.6728723404255319,0.46825396825396826,0.8966565349544073,0.6152241918665277,0.7579650565262076,0.8610078707807252,0.7718996746702539,0.14887762392829063,0.12135352438368589
ur3,3,attention_mc,True,True,0.17,1128,329,799,0.6640070921985816,0.45733788395904434,0.8145896656534954,0.585792349726776,0.704521556256572,0.8358472406617694,0.7858751569908231,0.13039203502647456,0.0653922301485923
ur3,3,no_attention_mc,False,True,0.31,1128,329,799,0.5859929078014184,0.4094488188976378,0.9483282674772037,0.5719523373052245,0.7507218479307026,0.852768087769286,0.7599359941027615,0.18732765790626627,0.22441587919461814
ur3,3,attention_no_mc,True,False,0.2,1128,329,799,0.6099290780141844,0.42037302725968434,0.8905775075987842,0.571150097465887,0.7277694982613016,0.8394611805790674,0.7753315547534317,0.17516171135674502,0.15620079136565856
ur3,3,no_attention_no_mc,False,False,0.33,1128,329,799,0.6914893617021277,0.4833040421792619,0.8358662613981763,0.6124721603563474,0.7294429708222812,0.855198937882079,0.7803625946619864,0.17220483722131877,0.14505255404621997
ur3,4,attention_mc,True,True,0.01,1128,329,799,0.2916666666666667,0.2916666666666667,1.0,0.45161290322580644,0.6730769230769231,0.7523880534558777,0.6505963976899451,0.23614813726695236,0.2602660392827176
ur3,4,no_attention_mc,False,True,0.32,1128,329,799,0.5762411347517731,0.40261437908496733,0.9361702127659575,0.5630712979890311,0.7400288322921672,0.7985856180407882,0.6609683058838202,0.20602561654271123,0.22266455324934728
ur3,4,attention_no_mc,True,False,0.16,1128,329,799,0.6737588652482269,0.46511627906976744,0.790273556231003,0.5855855855855856,0.6933333333333334,0.8181998014235119,0.729355272383367,0.15799991465368018,0.0990826236381334
ur3,4,no_attention_no_mc,False,False,0.31,1128,329,799,0.5709219858156028,0.3997412677878396,0.939209726443769,0.5607985480943739,0.739588319770225,0.7987377839320428,0.6727199114416684,0.2101568577848102,0.20241685446800917
ur3,5,attention_mc,True,True,0.32,1128,329,799,0.6037234042553191,0.4191780821917808,0.9300911854103343,0.5779036827195467,0.7478005865102639,0.8575841382274957,0.7866225785228446,0.2160484349983586,0.2304784682982251
ur3,5,no_attention_mc,False,True,0.3,1128,329,799,0.7393617021276596,0.5339805825242718,0.8358662613981763,0.6516587677725119,0.7509557618787548,0.8861646967523995,0.822206911604665,0.1458344810046124,0.11031248653307557
ur3,5,attention_no_mc,True,False,0.14,1128,329,799,0.5363475177304965,0.38313253012048193,0.9665653495440729,0.548748921484038,0.7409133271202236,0.8353184641896596,0.7426275608085181,0.21651715852378076,0.21412885968461104
ur3,5,no_attention_no_mc,False,False,0.3,1128,329,799,0.7109929078014184,0.5027223230490018,0.8419452887537994,0.6295454545454545,0.741831815747188,0.8702899901472585,0.8039875095396745,0.1723585116950176,0.1422090114140553
