dataset,model,miss_cost,fp_cost,missed,false_alarms,total_cost
cmapss_fd001,full_mc,500,5.0,1,2,523.0
cmapss_fd001,lite_mc,500,5.0,4,2,2021.5
cmapss_fd001,lite_no_attn_mc,500,5.0,1,3,515.0
cmapss_fd001,lite_no_mc,500,5.0,4,2,2021.5
cmapss_fd001,matched_tcn,1000,0.5,2,2,2001.0
cmapss_fd001,full_mc,1000,0.5,1,2,1014.0
cmapss_fd001,lite_mc,1000,0.5,4,2,4012.5
cmapss_fd001,lite_no_attn_mc,1000,0.5,1,3,1001.5
cmapss_fd001,lite_no_mc,1000,0.5,4,2,4012.5
cmapss_fd001,matched_tcn,1000,1.0,2,2,2002.0
cmapss_fd001,full_mc,1000,1.0,1,2,1015.0
cmapss_fd001,lite_mc,1000,1.0,4,2,4013.5
cmapss_fd001,lite_no_attn_mc,1000,1.0,1,3,1003.0
cmapss_fd001,lite_no_mc,1000,1.0,4,2,4013.5
cmapss_fd001,matched_tcn,1000,2.0,2,2,2004.0
cmapss_fd001,full_mc,1000,2.0,1,2,1017.0
cmapss_fd001,lite_mc,1000,2.0,4,2,4015.5
cmapss_fd001,lite_no_attn_mc,1000,2.0,1,3,1006.0
cmapss_fd001,lite_no_mc,1000,2.0,4,2,4015.5
cmapss_fd001,matched_tcn,1000,5.0,2,2,2010.0
cmapss_fd001,full_mc,1000,5.0,1,2,1023.0
cmapss_fd001,lite_mc,1000,5.0,4,2,4021.5
cmapss_fd001,lite_no_attn_mc,1000,5.0,1,3,1015.0
cmapss_fd001,lite_no_mc,1000,5.0,4,2,4021.5
cmapss_fd003,matched_tcn,10,0.5,0,2,1.0
cmapss_fd003,full_mc,10,0.5,0,5,15.0
cmapss_fd003,lite_mc,10,0.5,0,3,13.0
cmapss_fd003,lite_no_attn_mc,10,0.5,0,2,1.0
cmapss_fd003,lite_no_mc,10,0.5,0,5,15.0
cmapss_fd003,matched_tcn,10,1.0,0,2,2.0
cmapss_fd003,full_mc,10,1.0,0,5,17.5
cmapss_fd003,lite_mc,10,1.0,0,3,14.5
cmapss_fd003,lite_no_attn_mc,10,1.0,0,2,2.0
cmapss_fd003,lite_no_mc,10,1.0,0,5,17.5
cmapss_fd003,matched_tcn,10,2.0,0,2,4.0
cmapss_fd003,full_mc,10,2.0,0,5,22.5
cmapss_fd003,lite_mc,10,2.0,0,3,17.5
cmapss_fd003,lite_no_attn_mc,10,2.0,0,2,4.0
cmapss_fd003,lite_no_mc,10,2.0,0,5,22.5
cmapss_fd003,matched_tcn,10,5.0,0,2,10.0
cmapss_fd003,full_mc,10,5.0,0,5,37.5
cmapss_fd003,lite_mc,10,5.0,0,3,26.5
cmapss_fd003,lite_no_attn_mc,10,5.0,0,2,10.0
cmapss_fd003,lite_no_mc,10,5.0,0,5,37.5
cmapss_fd003,matched_tcn,50,0.5,0,2,1.0
cmapss_fd003,full_mc,50,0.5,0,5,15.0
cmapss_fd003,lite_mc,50,0.5,0,3,13.0
cmapss_fd003,lite_no_attn_mc,50,0.5,0,2,1.0
cmapss_fd003,lite_no_mc,50,0.5,0,5,15.0
cmapss_fd003,matched_tcn,50,1.0,0,2,2.0
cmapss_fd003,full_mc,50,1.0,0,5,17.5
cmapss_fd003,lite_mc,50,1.0,0,3,14.5
cmapss_fd003,lite_no_attn_mc,50,1.0,0,2,2.0
cmapss_fd003,lite_no_mc,50,1.0,0,5,17.5
cmapss_fd003,matched_tcn,50,2.0,0,2,4.0
cmapss_fd003,full_mc,50,2.0,0,5,22.5
cmapss_fd003,lite_mc,50,2.0,0,3,17.5
cmapss_fd003,lite_no_attn_mc,50,2.0,0,2,4.0
cmapss_fd003,lite_no_mc,50,2.0,0,5,22.5
cmapss_fd003,matched_tcn,50,5.0,0,2,10.0
cmapss_fd003,full_mc,50,5.0,0,5,37.5
cmapss_fd003,lite_mc,50,5.0,0,3,26.5
cmapss_fd003,lite_no_attn_mc,50,5.0,0,2,10.0
cmapss_fd003,lite_no_mc,50,5.0,0,5,37.5
cmapss_fd003,matched_tcn,100,0.5,0,2,1.0
cmapss_fd003,full_mc,100,0.5,0,5,15.0
cmapss_fd003,lite_mc,100,0.5,0,3,13.0
cmapss_fd003,lite_no_attn_mc,100,0.5,0,2,1.0
cmapss_fd003,lite_no_mc,100,0.5,0,5,15.0
cmapss_fd003,matched_tcn,100,1.0,0,2,2.0
cmapss_fd003,full_mc,100,1.0,0,5,17.5
cmapss_fd003,lite_mc,100,1.0,0,3,14.5
cmapss_fd003,lite_no_attn_mc,100,1.0,0,2,2.0
cmapss_fd003,lite_no_mc,100,1.0,0,5,17.5
cmapss_fd003,matched_tcn,100,2.0,0,2,4.0
cmapss_fd003,full_mc,100,2.0,0,5,22.5
cmapss_fd003,lite_mc,100,2.0,0,3,17.5
cmapss_fd003,lite_no_attn_mc,100,2.0,0,2,4.0
cmapss_fd003,lite_no_mc,100,2.0,0,5,22.5
cmapss_fd003,matched_tcn,100,5.0,0,2,10.0
cmapss_fd003,full_mc,100,5.0,0,5,37.5
cmapss_fd003,lite_mc,100,5.0,0,3,26.5
cmapss_fd003,lite_no_attn_mc,100,5.0,0,2,10.0
cmapss_fd003,lite_no_mc,100,5.0,0,5,37.5
cmapss_fd003,matched_tcn,500,0.5,0,2,1.0
cmapss_fd003,full_mc,500,0.5,0,5,15.0
cmapss_fd003,lite_mc,500,0.5,0,3,13.0
