dataset,proposed,baseline,metric,proposed_value,baseline_value,diff_mean,diff_sd,ci_low,ci_high,ci_includes_zero,n_bootstrap,n_units
cmapss_fd001,proposed_lite,timesnet,auc_roc,0.9922988792151575,0.9969412320816111,-0.004652003866851315,0.001758187506099408,-0.008534135550288044,-0.0016397986541073948,False,5000,100
cmapss_fd001,proposed_lite,timesnet,auc_pr,0.8286280899544591,0.920355853001618,-0.09232409411996605,0.03896516588806097,-0.17845865359898946,-0.02680345821300425,False,5000,100
cmapss_fd003,full,lstm,f2,0.8984867591424969,0.9117082533589251,-0.014089880620374697,0.010785573375041657,-0.03714711374059824,0.005568301548046258,True,5000,100
cmapss_fd003,full,lstm,auc_roc,0.9983224190594114,0.9986531157912817,-0.00033768677087192285,0.0003448195153546527,-0.0010860486794322499,0.0002633328038121274,True,5000,100
cmapss_fd003,full,lstm,auc_pr,0.9245168067301828,0.9326262275994409,-0.009536344133493578,0.01584580709900527,-0.045174011541102066,0.016792356198578256,True,5000,100
cmapss_fd003,full,tcn,f2,0.8984867591424969,0.8898589657488247,0.0070456834433920874,0.023618648319080053,-0.03908117866075946,0.05271394586678679,True,5000,100
cmapss_fd003,full,tcn,auc_roc,0.9983224190594114,0.9970414178430114,0.0012360791612456691,0.0014379416933086692,-0.000740631734874897,0.004509865984379841,True,5000,100
cmapss_fd003,full,tcn,auc_pr,0.9245168067301828,0.9363996609526192,-0.013316363974827522,0.023903504799140576,-0.06622497277133632,0.027871739196657495,True,5000,100
cmapss_fd003,full,timesnet,f2,0.8984867591424969,0.8952912019826518,0.0029965512030982544,0.014926100151725016,-0.028202688501321557,0.03002785017021619,True,5000,100
cmapss_fd003,full,timesnet,auc_roc,0.9983224190594114,0.9988205149896624,-0.000495947101843454,0.000461561244625327,-0.0015210773940520837,0.0002776572092829049,True,5000,100
cmapss_fd003,full,timesnet,auc_pr,0.9245168067301828,0.9514085826477672,-0.027003596549005398,0.019714014083730733,-0.0709578268895168,0.00799868466709492,True,5000,100
cmapss_fd003,proposed_lite,lstm,f2,0.8600493218249076,0.9117082533589251,-0.052634751379507294,0.01867641599199153,-0.0938833179797661,-0.021403149053716576,False,5000,100
cmapss_fd003,proposed_lite,lstm,auc_roc,0.9926805790012703,0.9986531157912817,-0.005874706173137652,0.004406107804003495,-0.015960549463148795,-0.0006186401759046283,False,5000,100
cmapss_fd003,proposed_lite,lstm,auc_pr,0.8365557357345825,0.9326262275994409,-0.08980365656467673,0.038243992166663646,-0.16418674913276957,-0.013605769479942052,False,5000,100
cmapss_fd003,proposed_lite,tcn,f2,0.8600493218249076,0.8898589657488247,-0.0314991873157405,0.026578818956190797,-0.08557428818681818,0.018201218888918912,True,5000,100
cmapss_fd003,proposed_lite,tcn,auc_roc,0.9926805790012703,0.9970414178430114,-0.00430094024102006,0.0028309914860125966,-0.010750858103380955,-0.0006410815093683137,False,5000,100
cmapss_fd003,proposed_lite,tcn,auc_pr,0.8365557357345825,0.9363996609526192,-0.09358367640601069,0.02966706954864321,-0.1531654638670209,-0.037276175564804906,False,5000,100
cmapss_fd003,proposed_lite,timesnet,f2,0.8600493218249076,0.8952912019826518,-0.03554831955603433,0.023739982304952487,-0.08762647143684289,0.0038987614006093553,True,5000,100
cmapss_fd003,proposed_lite,timesnet,auc_roc,0.9926805790012703,0.9988205149896624,-0.006032966504109183,0.004547716051811781,-0.016436598505608725,-0.0006252589559711748,False,5000,100
cmapss_fd003,proposed_lite,timesnet,auc_pr,0.8365557357345825,0.9514085826477672,-0.10727090898018855,0.03494958727136905,-0.1798752104311698,-0.04027198998774695,False,5000,100
xjtu,full,lstm,f2,0.5443548387096774,0.594758064516129,-0.05470545476709701,0.031681999551547164,-0.12842433790533933,-0.0021859356897719895,False,5000,4
xjtu,full,lstm,auc_roc,0.6362688286131442,0.71924622067452,-0.111574384231995,0.10883752725473156,-0.2992727561746179,0.04167214682848075,True,5000,4
xjtu,full,lstm,auc_pr,0.3164118721520871,0.42362692731262697,-0.14292553503531266,0.11517153535039489,-0.42814085864942897,0.01583095219697389,True,5000,4
xjtu,full,tcn,f2,0.5443548387096774,0.652834008097166,-0.11975686259667363,0.06363047339755656,-0.2606264872019267,-0.03098846118583909,False,5000,4
xjtu,full,tcn,auc_roc,0.6362688286131442,0.7272900399923825,-0.10862500306290077,0.11869156891317452,-0.39486858573216516,0.08940654896165512,True,5000,4
xjtu,full,tcn,auc_pr,0.3164118721520871,0.6924928583939124,-0.37697960521234725,0.140888124516421,-0.5675564764656205,0.015112503148977385,True,5000,4
xjtu,full,timesnet,f2,0.5443548387096774,0.6659939455095862,-0.13169905210167382,0.06661315648736753,-0.28750211996155806,-0.03852167770372694,False,5000,4
xjtu,full,timesnet,auc_roc,0.6362688286131442,0.734952979477832,-0.12501931873921057,0.09509802783751657,-0.45838548185231537,-0.04465235846236626,False,5000,4
xjtu,full,timesnet,auc_pr,0.3164118721520871,0.4666206690476176,-0.1790952116519156,0.14227829431582978,-0.5225880985826348,0.04967570261096366,True,5000,4
xjtu,proposed_lite,lstm,f2,0.5533399800598205,0.594758064516129,-0.04557251569418028,0.020219694675024515,-0.08915612689197594,-0.009552220966079106,False,5000,4
