dataset,seed,pooling,threshold,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece
cmapss_fd001,5,learned_attention,0.5,10196,332,9864,0.9801883091408395,0.6274509803921569,0.963855421686747,0.7600950118764845,0.8705114254624592,0.9942345415726165,0.8434142067780708,0.015424872648062513,0.019197824298035685
cmapss_fd001,5,uniform_mean,0.39,10196,332,9864,0.9812671635935661,0.6556291390728477,0.8945783132530121,0.756687898089172,0.8338012352610893,0.9879060035763492,0.8123454700310793,0.012487108842085419,0.01297265017247496
cmapss_fd001,5,terminal_state,0.62,10196,332,9864,0.9862691251471165,0.7487046632124352,0.8704819277108434,0.8050139275766016,0.8430571761960327,0.9960422590605732,0.9020115230601483,0.010695731103112461,0.012145725825875298
cmapss_fd003,1,learned_attention,0.64,13696,291,13405,0.9894129672897196,0.6721698113207547,0.979381443298969,0.7972027972027972,0.8973551637279596,0.9983295969729713,0.9254615054560241,0.009419710658095127,0.012165844845924843
cmapss_fd003,1,uniform_mean,0.42000000000000004,13696,291,13405,0.9853241822429907,0.5949367088607594,0.9690721649484536,0.7372549019607844,0.8608058608058609,0.9964715427771603,0.8757643239325511,0.010460026294194269,0.014360194995048838
cmapss_fd003,1,terminal_state,0.6,13696,291,13405,0.9899970794392523,0.6833333333333333,0.9862542955326461,0.8073136427566807,0.9059343434343434,0.9982250045182404,0.9224706894668214,0.008721330633674146,0.011040569921380462
cmapss_fd003,2,learned_attention,0.22,13696,291,13405,0.9882447429906542,0.6504629629629629,0.9656357388316151,0.7773167358229599,0.8803258145363408,0.9911388657102097,0.937890486981664,0.00588078576411061,0.006940565481595641
cmapss_fd003,2,uniform_mean,0.22,13696,291,13405,0.9862733644859814,0.614190687361419,0.9518900343642611,0.7466307277628033,0.8575851393188855,0.9878121591292166,0.917022610799985,0.006564043903433449,0.007474309119928213
cmapss_fd003,2,terminal_state,0.29000000000000004,13696,291,13405,0.990581191588785,0.697560975609756,0.9828178694158075,0.8159771754636234,0.9085133418043202,0.9984957144010737,0.9419201008919484,0.006133572816676719,0.006814806891211065
cmapss_fd003,3,learned_attention,0.77,13696,291,13405,0.9889018691588785,0.6674698795180722,0.9518900343642611,0.7847025495750708,0.8771374287523749,0.9901460064524316,0.9207033920080241,0.011055439647429883,0.012422138091657708
cmapss_fd003,3,uniform_mean,0.4,13696,291,13405,0.9872225467289719,0.6330275229357798,0.9484536082474226,0.7592847317744154,0.8625,0.9857710681376262,0.8965191877081014,0.009399631683465193,0.011480730091151997
