dataset,model,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece,threshold
cmapss_fd003,random_forest,13696,291,13405,0.98758761682243,0.6657534246575343,0.8350515463917526,0.7408536585365854,0.7946370176586004,0.995627368871696,0.8617969442228124,0.0073292737821408,0.0069613110311079,0.35
cmapss_fd003,gradient_boosting,13696,291,13405,0.9891209112149532,0.6858638743455497,0.9003436426116839,0.7786032689450223,0.8473479948253557,0.9975897591681824,0.9130914308619072,0.0060336138632109,0.0056407805895676,0.35
xjtu,random_forest,800,177,623,0.69,0.2738853503184713,0.2429378531073446,0.2574850299401197,0.2485549132947976,0.5461635425451842,0.2512837754448991,0.2270493089841986,0.2043147166094565,0.56
xjtu,gradient_boosting,800,177,623,0.77875,0.5,0.6892655367231638,0.5795724465558195,0.6407563025210085,0.6681085688893724,0.3987728214896656,0.2411499402132028,0.2369205235130739,0.93
xjtu,w/o_attention,800,177,623,0.72375,0.4214285714285714,0.6666666666666666,0.5164113785557987,0.597165991902834,0.6754722456493547,0.3266004933902843,0.361774972463751,0.444960175678134,0.97
xjtu,softmax_attention,800,177,623,0.7125,0.4022140221402214,0.615819209039548,0.4866071428571428,0.5566905005107252,0.7256395607185933,0.4063673139072594,0.4130749746565476,0.481586080417037,0.96
xjtu,w/o_mc_dropout,800,177,623,0.72,0.4139194139194139,0.6384180790960452,0.5022222222222222,0.5759429153924567,0.7027595650715056,0.5292361134720783,0.4009807367319389,0.4723616854101419,0.92
xjtu,w/o_class_weight,800,177,623,0.72875,0.4186991869918699,0.5819209039548022,0.4869976359338061,0.539832285115304,0.7920940229072015,0.5212011767874605,0.2397721874604064,0.2464032703451812,0.89
xjtu,w/_rolling_stats,800,177,623,0.725,0.4136546184738955,0.5819209039548022,0.4835680751173709,0.5381400208986415,0.721862502380499,0.4295962919070356,0.315798460885077,0.3839622742682695,0.97
xjtu,lstm,800,177,623,0.73375,0.4352517985611511,0.6836158192090396,0.5318681318681319,0.6135902636916836,0.6718085444042404,0.3326586099185125,0.3414625960117203,0.4175767908245325,0.96
xjtu,bilstm,800,177,623,0.71875,0.4069767441860465,0.5932203389830508,0.4827586206896552,0.5434782608695652,0.6474503722646934,0.412452536274297,0.3608614022776277,0.4412368477880954,0.93
xjtu,gru,800,177,623,0.72,0.4113207547169811,0.615819209039548,0.4932126696832579,0.5601233299075026,0.6858058782454135,0.5331449457996724,0.4239338600616544,0.4960699906945229,0.94
xjtu,transformer,800,177,623,0.73,0.4347826086956521,0.7344632768361582,0.5462184873949579,0.6454816285998014,0.706513951991004,0.4917666135979536,0.3395090752188864,0.392029745131731,0.88
xjtu,tcn,800,177,623,0.7625,0.4756554307116105,0.7175141242937854,0.5720720720720721,0.6512820512820513,0.7188063951537574,0.6352960539603059,0.3972282689285626,0.5003558939695358,0.96
xjtu,patchtst,800,177,623,0.73625,0.4260869565217391,0.5536723163841808,0.4815724815724815,0.5223880597014925,0.7060695921865223,0.342931831934097,0.287305518101026,0.3142473405599594,0.77
xjtu,timesnet,800,177,623,0.735,0.4414715719063545,0.7457627118644068,0.5546218487394958,0.6554121151936445,0.7017076112486511,0.3426183394222339,0.3090818948604554,0.3601523742126301,0.76
ur3,full,1128,329,799,0.5044326241134752,0.3690205011389522,0.9848024316109423,0.5368682684341343,0.7383773928896992,0.8544266959839618,0.7730693746546161,0.1644480115596318,0.1677048668820173,0.17
ur3,proposed_lite,1128,329,799,0.5478723404255319,0.3886838868388684,0.9604863221884499,0.553415061295972,0.742132456552372,0.8504095164548392,0.7672690424391166,0.17649451401401783,0.1880573655300318,0.19
cmapss_fd001,full,10196,332,9864,0.9806786975284425,0.635814889336016,0.9518072289156626,0.7623642943305187,0.8657534246575342,0.9955258992173072,0.8914111174819223,0.011428350593961337,0.013741899075147522,0.39
cmapss_fd001,proposed_lite,10196,332,9864,0.9843075715967046,0.7139303482587065,0.8644578313253012,0.782016348773842,0.8294797687861272,0.9928833338219056,0.8459572026682795,0.013039715972031976,0.016432632620546127,0.62
cmapss_fd003,full,13696,291,13405,0.9902161214953271,0.6967418546365914,0.9553264604810997,0.8057971014492754,0.889315419065899,0.997600782392578,0.9352283534600384,0.0073421791416339805,0.011435831276158352,0.56
cmapss_fd003,proposed_lite,13696,291,13405,0.9886828271028038,0.6611374407582938,0.9587628865979382,0.782608695652174,0.8795712484237075,0.9940895008914712,0.9100011014332663,0.008269808841013275,0.01512597372677073,0.49
xjtu,full,800,177,623,0.715,0.4037735849056604,0.6045197740112994,0.4841628959276018,0.5498458376156218,0.6605907264829374,0.4705439300683868,0.44073557786892453,0.5098791562020779,0.9500000000000001
xjtu,proposed_lite,800,177,623,0.7175,0.40160642570281124,0.5649717514124294,0.4694835680751174,0.522466039707419,0.6421180546109132,0.4105631928105044,0.4258248158227235,0.5115636072307825,0.88
