dataset,model,method,threshold,f2,auc_roc,auc_pr,brier,ece,coverage
cmapss_fd001,full,MC-reject 30%+temp,0.01,0.9375,0.9954189730864669,0.924925351912413,0.00011262529564091424,0.00011262529475558409,0.8708316987053747
cmapss_fd001,proposed_lite,raw,0.62,0.8294797687861272,0.9928833338219056,0.8459572026682795,0.013039715972031976,0.016432632620546127,1.0
cmapss_fd001,proposed_lite,temperature (T=0.96),0.63,0.8299595141700404,0.9928833338219055,0.8459572026682796,0.0130716369236037,0.015758588897588997,1.0
cmapss_fd001,proposed_lite,isotonic,0.2,0.8299595141700404,0.9858318615092976,0.8257441860114612,0.010890455603063053,0.003938244448359266,1.0
cmapss_fd001,proposed_lite,MC-reject 10%,0.13,0.9395973154362416,0.995742408168265,0.9146464090713038,0.003997463503135553,0.0075969358825830465,0.955276579050608
cmapss_fd001,proposed_lite,MC-reject 10%+temp,0.09999999999999999,0.9395973154362416,0.9957424081682649,0.9146464090713038,0.004036600324358072,0.005028489188987234,0.955276579050608
cmapss_fd001,proposed_lite,MC-reject 20%,0.05,0.9459459459459459,0.9931514632355513,0.9473767185211995,0.0006564699862281677,0.003830947148648494,0.9170262848175755
cmapss_fd001,proposed_lite,MC-reject 20%+temp,0.01,0.9459459459459459,0.9931514632355513,0.9473767185211995,0.0006406875326878116,0.0004791125143942907,0.9170262848175755
cmapss_fd001,proposed_lite,MC-reject 30%,0.02,0.9139784946236559,0.9800735671718438,0.8960378398623087,0.0002423269730388125,0.003406164432795364,0.8663201255394273
cmapss_fd001,proposed_lite,MC-reject 30%+temp,0.01,0.9139784946236559,0.9800735671718438,0.8960378398623087,0.0002264236386259773,0.00022642362890713816,0.8663201255394273
cmapss_fd003,full,raw,0.56,0.889315419065899,0.997600782392578,0.9352283534600384,0.0073421791416339805,0.011435831276158352,1.0
cmapss_fd003,full,temperature (T=1.12),0.56,0.8910256410256411,0.9976007823925781,0.9352283534600384,0.007269664555925192,0.013360094763684001,1.0
cmapss_fd003,full,isotonic,0.16,0.889315419065899,0.9932625027077397,0.9203583508907773,0.004582673401331832,0.002126667464963417,1.0
cmapss_fd003,full,MC-reject 10%,0.06999999999999999,0.9693318729463308,0.9987430321185342,0.9801529124017536,0.0008206630791177914,0.0024491377160115236,0.9596232476635514
cmapss_fd003,full,MC-reject 10%+temp,0.09,0.9703947368421053,0.9987430321185343,0.9801529124017535,0.0008387908240821297,0.003957374849631153,0.9596232476635514
cmapss_fd003,full,MC-reject 20%,0.03,0.9776536312849162,0.9978148733482594,0.9783358514924525,0.00016391464867379448,0.0018644466060955393,0.9292494158878505
cmapss_fd003,full,MC-reject 20%+temp,0.02,0.9776536312849162,0.9978148733482594,0.9783358514924525,0.0001582362802713209,0.0007825295089082074,0.9292494158878505
cmapss_fd003,full,MC-reject 30%,0.02,0.9782608695652174,0.997082818404886,0.973719241629689,8.701370470685635e-05,0.001575431305299363,0.8841267523364486
cmapss_fd003,full,MC-reject 30%+temp,0.01,0.9782608695652174,0.997082818404886,0.9737192416296893,8.294037679431274e-05,0.0004246229834649864,0.8841267523364486
cmapss_fd003,proposed_lite,raw,0.49,0.8795712484237075,0.9940895008914712,0.9100011014332663,0.008269808841013275,0.01512597372677073,1.0
cmapss_fd003,proposed_lite,temperature (T=1.07),0.49,0.8795712484237075,0.9940895008914712,0.9100011014332663,0.008277946940315896,0.016943976275899466,1.0
cmapss_fd003,proposed_lite,isotonic,0.2,0.8840304182509505,0.9875320923233497,0.8877801411245504,0.005123524979665539,0.0025069624954833143,1.0
cmapss_fd003,proposed_lite,MC-reject 10%,0.2,0.9615384615384616,0.9940703350518713,0.944277948026916,0.0015561896751969913,0.005195848929629484,0.9599883177570093
cmapss_fd003,proposed_lite,MC-reject 10%+temp,0.92,0.9615384615384616,0.9940703350518713,0.944277948026916,0.001587332817725393,0.0065613247336299,0.9599883177570093
cmapss_fd003,proposed_lite,MC-reject 20%,0.04,0.9453781512605042,0.9900168913962856,0.9484477035785609,0.0004956207819150912,0.003427227005152573,0.9237733644859814
cmapss_fd003,proposed_lite,MC-reject 20%+temp,0.04,0.9453781512605042,0.9900168913962856,0.9484477035785607,0.0004969263332996967,0.0035429511630305226,0.9237733644859814
cmapss_fd003,proposed_lite,MC-reject 30%,0.02,0.9245283018867925,0.9856959028682077,0.914527562200095,0.0004240157012760814,0.002886074282811553,0.8823744158878505
cmapss_fd003,proposed_lite,MC-reject 30%+temp,0.01,0.9245283018867925,0.9856959028682077,0.9145275622000951,0.0004151076250561849,0.001179719669031527,0.8823744158878505
xjtu,full,raw,0.9500000000000001,0.5498458376156218,0.6605907264829374,0.4705439300683868,0.44073557786892453,0.5098791562020779,1.0
xjtu,full,temperature (T=5.00),0.64,0.5584016393442623,0.6605907264829376,0.4705439300683867,0.2853923050697312,0.35246388629078873,1.0
xjtu,full,isotonic,0.16,0.5498458376156218,0.6807501518985045,0.3431306006400868,0.2634298147629696,0.039794215932488435,1.0
xjtu,full,MC-reject 10%,0.9500000000000001,0.6009334889148191,0.6519285152720574,0.4800247472508898,0.4261084603221921,0.4987336914304277,0.8875
xjtu,full,MC-reject 10%+temp,0.65,0.5964912280701754,0.6519285152720574,0.4800247472508898,0.28274839811104097,0.3541259530564429,0.8875
xjtu,full,MC-reject 20%,0.9500000000000001,0.5874840357598978,0.6383938244853736,0.47688670798222277,0.41056924972433906,0.48465816365988235,0.8275
xjtu,full,MC-reject 20%+temp,0.65,0.5874840357598978,0.6383938244853737,0.4768867079822228,0.2794409036822911,0.3505046637756947,0.8275
xjtu,full,MC-reject 30%,0.9500000000000001,0.5547445255474452,0.6090559732664996,0.454480474588265,0.3933597957729354,0.4685352309769679,0.75125
xjtu,full,MC-reject 30%+temp,0.65,0.5547445255474452,0.6090559732664996,0.454480474588265,0.2765782710042125,0.3491505501472614,0.75125
xjtu,proposed_lite,raw,0.88,0.522466039707419,0.6421180546109132,0.4105631928105044,0.4258248158227235,0.5115636072307825,1.0
