dataset,model,mc_samples,uncertainty,f2,auc_roc,auc_pr,brier,ece,error_auc,error_spearman,aurc50,risk_full,risk_c60,risk_c80
cmapss_fd003,full,10,pseudo_abs,0.8934169278996865,0.9983070378160684,0.922631489209203,0.009435504696512808,0.012155476077984707,0.9862822826965524,0.1764739438461443,0.0009071550699566229,0.011098130841121495,0.0,0.00015683814303638644
cmapss_fd003,full,10,entropy,0.8934169278996865,0.9983070378160684,0.922631489209203,0.009435504696512808,0.012155476077984707,0.9862825255696831,0.17647403142945725,0.0009071550699566229,0.011098130841121495,0.0,0.00015683814303638644
cmapss_fd003,full,20,MC,0.9001895135818067,0.99825371617248,0.9187912049394557,0.009430597211800482,0.012180124696421112,0.9805805547359103,0.16745297556301605,0.0010010553196136923,0.01022196261682243,0.0,0.0005507474429583006
cmapss_fd003,full,20,pseudo_abs,0.9001895135818067,0.99825371617248,0.9187912049394557,0.009430597211800482,0.012180124696421112,0.9840671500231842,0.16866784165432336,0.0008642868689017906,0.01022196261682243,0.0,0.00015688735487919673
cmapss_fd003,full,20,entropy,0.9001895135818067,0.99825371617248,0.9187912049394557,0.009430597211800482,0.012180124696421112,0.9840671500231842,0.16866784110402439,0.0008642868689017906,0.01022196261682243,0.0,0.00015688735487919673
cmapss_fd003,full,50,MC,0.8984867591424969,0.9983206245810213,0.9252425381269084,0.009411293029195168,0.012175169752319952,0.9839320275386091,0.17039897586685934,0.0009208920104097163,0.010441004672897197,0.0,7.852991989948171e-05
cmapss_fd003,full,50,pseudo_abs,0.8984867591424969,0.9983206245810213,0.9252425381269084,0.009411293029195168,0.012175169752319952,0.984969136965005,0.1707641566176894,0.0008749204854360471,0.010441004672897197,0.0,7.842522155125088e-05
cmapss_fd003,full,50,entropy,0.8984867591424969,0.9983206245810213,0.9252425381269084,0.009411293029195168,0.012175169752319952,0.9849691369650051,0.1707641560445985,0.0008749204854360471,0.010441004672897197,0.0,7.842522155125088e-05
cmapss_fd003,proposed_lite,5,MC,0.8609068627450981,0.9913608683224575,0.828693536851714,0.010689010006519527,0.018112668330979992,0.9537514153144641,0.18715385677622248,0.002415756069365625,0.014383761682242991,0.0008648856428983279,0.0017594369801663468
cmapss_fd003,proposed_lite,5,pseudo_abs,0.8609068627450981,0.9913608683224575,0.828693536851714,0.010689010006519527,0.018112668330979992,0.9671710970882219,0.19268892543128247,0.0020326774801596795,0.014383761682242991,0.0006461140852870592,0.0012630249447426586
cmapss_fd003,proposed_lite,5,entropy,0.8609068627450981,0.9913608683224575,0.828693536851714,0.010689010006519527,0.018112668330979992,0.967171097088222,0.19268892535455495,0.0020326774801596795,0.014383761682242991,0.0006461140852870592,0.0012630249447426586
cmapss_fd003,proposed_lite,10,MC,0.8553846153846154,0.991797951987449,0.8342506296725758,0.010745621104412798,0.018204195035752626,0.9589399092970521,0.1888198386789116,0.002184507621923618,0.014310747663551402,0.0004736193994506015,0.0019093078758949881
cmapss_fd003,proposed_lite,10,pseudo_abs,0.8553846153846154,0.991797951987449,0.8342506296725758,0.010745621104412798,0.018204195035752626,0.9713214285714287,0.19391391844536895,0.0019598339690948506,0.014310747663551402,0.0005470958329534056,0.0012630249447426586
cmapss_fd003,proposed_lite,10,entropy,0.8553846153846154,0.991797951987449,0.8342506296725758,0.010745621104412798,0.018204195035752626,0.9713216175359032,0.19391399611555374,0.0019598339690948506,0.014310747663551402,0.0005470958329534056,0.0012630249447426586
cmapss_fd003,proposed_lite,20,MC,0.8558282208588958,0.9920866066541822,0.8359064568386434,0.010682976052092506,0.018149919059711278,0.9625947027871073,0.1917532327072446,0.0021464688281662503,0.014529789719626169,0.0004671587405400355,0.0015824036711765172
cmapss_fd003,proposed_lite,20,pseudo_abs,0.8558282208588958,0.9920866066541822,0.8359064568386434,0.010682976052092506,0.018149919059711278,0.9720518574200185,0.19567338138072635,0.002057415619278508,0.014529789719626169,0.0005427899402931065,0.0012611334436825096
cmapss_fd003,proposed_lite,20,entropy,0.8558282208588958,0.9920866066541822,0.8359064568386434,0.010682976052092506,0.018149919059711278,0.9720518574200185,0.19567338130052553,0.002057415619278508,0.014529789719626169,0.0005427899402931065,0.0012611334436825096
cmapss_fd003,proposed_lite,50,MC,0.8541033434650456,0.9920255943889223,0.842390978581751,0.010695883019517868,0.018192021229802673,0.9708396008559141,0.20041078297102055,0.0020836631173189075,0.015332943925233645,0.00036569756811117204,0.0009480919649205973
cmapss_fd003,proposed_lite,50,pseudo_abs,0.8541033434650456,0.9920255943889223,0.842390978581751,0.010695883019517868,0.018192021229802673,0.975229868011271,0.20227948077750893,0.0020466896234746274,0.015332943925233645,0.0003646640532409518,0.001182033096926714
cmapss_fd003,proposed_lite,50,entropy,0.8541033434650456,0.9920255943889223,0.842390978581751,0.010695883019517868,0.018192021229802673,0.9752300445612029,0.20227955581820103,0.0020466896234746274,0.015332943925233645,0.0003646640532409518,0.001182033096926714
xjtu,full,5,MC,0.5255102040816326,0.6507513308122717,0.33233568688837023,0.26507750731119545,0.23187111314386133,0.47810507495326965,-0.03487989529081636,0.3184107749553591,0.30375,0.3143507972665148,0.3333333333333333
xjtu,full,5,pseudo_abs,0.5255102040816326,0.6507513308122717,0.33233568688837023,0.26507750731119545,0.23187111314386133,0.28742307038736326,-0.3386474733440235,0.34624024825393834,0.30375,0.3696763202725724,0.2966751918158568
xjtu,full,5,entropy,0.5255102040816326,0.6507513308122717,0.33233568688837023,0.26507750731119545,0.23187111314386133,0.28742307038736326,-0.3386474733440235,0.34624024825393834,0.30375,0.3696763202725724,0.2966751918158568
xjtu,full,10,MC,0.5346232179226069,0.659565978362398,0.3204762501895274,0.26518846857136597,0.21498758990317585,0.42679948633822995,-0.11634012582141574,0.33203989354882435,0.30125,0.3472222222222222,0.33277591973244147
xjtu,full,10,pseudo_abs,0.5346232179226069,0.659565978362398,0.3204762501895274,0.26518846857136597,0.21498758990317585,0.2693977835346165,-0.36650413414095345,0.34057150480221515,0.30125,0.36177474402730375,0.2950191570881226
xjtu,full,10,entropy,0.5346232179226069,0.659565978362398,0.3204762501895274,0.26518846857136597,0.21498758990317585,0.2693977835346165,-0.36650413414095345,0.34057150480221515,0.30125,0.36177474402730375,0.2950191570881226
xjtu,full,20,MC,0.5369807497467072,0.6704890678419531,0.3491633760052991,0.2647185978723235,0.21649447951465844,0.4429841372803397,-0.09093456306884254,0.32988379846972876,0.305,0.3333333333333333,0.3356521739130435
xjtu,full,20,pseudo_abs,0.5369807497467072,0.6704890678419531,0.3491633760052991,0.2647185978723235,0.21649447951465844,0.27621550300743014,-0.35691375354423915,0.34097245395802706,0.305,0.3601340033500838,0.2979539641943734
xjtu,full,20,entropy,0.5369807497467072,0.6704890678419531,0.3491633760052991,0.2647185978723235,0.21649447951465844,0.27621550300743014,-0.35691375354423915,0.34097245395802706,0.305,0.3601340033500838,0.2979539641943734
xjtu,full,50,MC,0.5369807497467072,0.6608627835060896,0.3327282933354346,0.26491240964343143,0.21868431678041816,0.381987852341078,-0.18821749899575554,0.3540806811457501,0.305,0.3900523560209424,0.3476764199655766
xjtu,full,50,pseudo_abs,0.5369807497467072,0.6608627835060896,0.3327282933354346,0.26491240964343143,0.21868431678041816,0.2655162755041868,-0.37397794257051714,0.3393472236675192,0.305,0.35225375626043404,0.2979539641943734
xjtu,full,50,entropy,0.5369807497467072,0.6608627835060896,0.3327282933354346,0.26491240964343143,0.21868431678041816,0.2655162755041868,-0.37397794257051714,0.3393472236675192,0.305,0.35225375626043404,0.2979539641943734
xjtu,proposed_lite,5,MC,0.5572139303482587,0.659810829683235,0.3884925039519118,0.24037439357112414,0.23454696821048854,0.4474836363636364,-0.0843231790143647,0.33010268459427533,0.3125,0.332579185520362,0.33278688524590166
xjtu,proposed_lite,5,pseudo_abs,0.5572139303482587,0.659810829683235,0.3884925039519118,0.24037439357112414,0.23454696821048854,0.2907272727272727,-0.3360198692893428,0.32144405630544487,0.3125,0.31799729364005414,0.308974358974359
xjtu,proposed_lite,5,entropy,0.5572139303482587,0.659810829683235,0.3884925039519118,0.24037439357112414,0.23454696821048854,0.2907272727272727,-0.3360198692893428,0.32144405630544487,0.3125,0.31799729364005414,0.308974358974359
xjtu,proposed_lite,10,MC,0.5599603567888999,0.6661678954575546,0.3950895428850364,0.23910826416867895,0.2363748934492469,0.41419012860618704,-0.13807936337772608,0.35166943491543984,0.315,0.3574766355140187,0.35772357723577236
xjtu,proposed_lite,10,pseudo_abs,0.5599603567888999,0.6661678954575546,0.3950895428850364,0.23910826416867895,0.2363748934492469,0.2985242150388136,-0.32420102339733947,0.3226042944201406,0.315,0.3149394347240915,0.3119383825417201
xjtu,proposed_lite,10,entropy,0.5599603567888999,0.6661678954575546,0.3950895428850364,0.23910826416867895,0.2363748934492469,0.2985242150388136,-0.32420102339733947,0.3226042944201406,0.315,0.3149394347240915,0.3119383825417201
xjtu,proposed_lite,20,MC,0.5577689243027888,0.6615202546453738,0.40502430327538985,0.23928121516453033,0.23731184046715498,0.39211656061633104,-0.1730339141125228,0.3553767683935697,0.31125,0.385,0.3402889245585875
