dataset,seed,model,confirm_windows,threshold,positive_units,negative_units,on_time_rate,premature_rate,missed_rate,false_alert_rate,median_detection_delay
xjtu,1,timesnet,2,0.66,4,0,0.25,0.75,0.0,,46.0
xjtu,1,timesnet,3,0.66,4,0,0.25,0.75,0.0,,47.0
xjtu,2,full,1,0.85,4,0,0.5,0.5,0.0,,36.5
xjtu,2,full,2,0.85,4,0,0.5,0.5,0.0,,38.5
xjtu,2,full,3,0.85,4,0,0.25,0.5,0.25,,68.0
xjtu,2,proposed_lite,1,0.76,4,0,0.5,0.5,0.0,,35.5
xjtu,2,proposed_lite,2,0.76,4,0,0.5,0.5,0.0,,36.5
xjtu,2,proposed_lite,3,0.76,4,0,0.25,0.5,0.25,,64.0
xjtu,2,lstm,1,0.9,4,0,0.25,0.25,0.5,,72.0
xjtu,2,lstm,2,0.9,4,0,0.25,0.25,0.5,,73.0
xjtu,2,lstm,3,0.9,4,0,0.0,0.25,0.75,,
xjtu,2,tcn,1,0.060000000000000005,4,0,0.0,1.0,0.0,,
xjtu,2,tcn,2,0.060000000000000005,4,0,0.0,1.0,0.0,,
xjtu,2,tcn,3,0.060000000000000005,4,0,0.0,1.0,0.0,,
xjtu,2,timesnet,1,0.5,4,0,0.25,0.75,0.0,,45.0
xjtu,2,timesnet,2,0.5,4,0,0.25,0.75,0.0,,46.0
xjtu,2,timesnet,3,0.5,4,0,0.25,0.75,0.0,,47.0
xjtu,3,full,1,0.88,4,0,0.5,0.5,0.0,,34.5
xjtu,3,full,2,0.88,4,0,0.5,0.5,0.0,,35.5
xjtu,3,full,3,0.88,4,0,0.25,0.5,0.25,,62.0
xjtu,3,proposed_lite,1,0.77,4,0,0.5,0.5,0.0,,35.0
xjtu,3,proposed_lite,2,0.77,4,0,0.5,0.5,0.0,,36.0
xjtu,3,proposed_lite,3,0.77,4,0,0.25,0.5,0.25,,63.0
xjtu,3,lstm,1,0.86,4,0,0.5,0.5,0.0,,29.0
xjtu,3,lstm,2,0.86,4,0,0.5,0.5,0.0,,30.0
