dataset,seed,model,confirm_windows,threshold,positive_units,negative_units,on_time_rate,premature_rate,missed_rate,false_alert_rate,median_detection_delay
ur3,3,lstm,1,0.21000000000000002,25,11,0.88,0.12,0.0,0.7272727272727273,0.0
ur3,3,lstm,2,0.21000000000000002,25,11,0.88,0.12,0.0,0.6363636363636364,1.0
ur3,3,lstm,3,0.21000000000000002,25,11,0.88,0.12,0.0,0.6363636363636364,2.0
ur3,3,tcn,1,0.06999999999999999,25,11,0.88,0.12,0.0,1.0,0.0
ur3,3,tcn,2,0.06999999999999999,25,11,0.92,0.08,0.0,0.9090909090909091,1.0
ur3,3,tcn,3,0.06999999999999999,25,11,0.92,0.08,0.0,0.8181818181818182,2.0
ur3,3,timesnet,1,0.29000000000000004,25,11,0.88,0.12,0.0,0.8181818181818182,0.0
ur3,3,timesnet,2,0.29000000000000004,25,11,0.92,0.08,0.0,0.6363636363636364,1.0
ur3,3,timesnet,3,0.29000000000000004,25,11,0.92,0.08,0.0,0.6363636363636364,2.0
ur3,4,full,1,0.23,25,11,0.88,0.12,0.0,1.0,0.0
ur3,4,full,2,0.23,25,11,0.88,0.12,0.0,1.0,1.0
ur3,4,full,3,0.23,25,11,0.88,0.12,0.0,1.0,2.0
ur3,4,proposed_lite,1,0.01,25,11,0.88,0.12,0.0,1.0,0.0
ur3,4,proposed_lite,2,0.01,25,11,0.88,0.12,0.0,1.0,1.0
ur3,4,proposed_lite,3,0.01,25,11,0.88,0.12,0.0,1.0,2.0
ur3,4,lstm,1,0.27,25,11,0.88,0.12,0.0,0.5454545454545454,0.0
ur3,4,lstm,2,0.27,25,11,0.92,0.08,0.0,0.5454545454545454,1.0
ur3,4,lstm,3,0.27,25,11,0.96,0.04,0.0,0.45454545454545453,2.0
ur3,4,tcn,1,0.26,25,11,0.88,0.12,0.0,1.0,0.0
ur3,4,tcn,2,0.26,25,11,0.88,0.12,0.0,1.0,1.0
ur3,4,tcn,3,0.26,25,11,0.88,0.12,0.0,1.0,2.0
ur3,4,timesnet,1,0.11,25,11,0.88,0.12,0.0,1.0,0.0
ur3,4,timesnet,2,0.11,25,11,0.88,0.12,0.0,0.7272727272727273,1.0
ur3,4,timesnet,3,0.11,25,11,0.92,0.08,0.0,0.7272727272727273,2.0
ur3,5,full,1,0.7100000000000001,25,11,0.88,0.12,0.0,0.45454545454545453,0.0
ur3,5,full,2,0.7100000000000001,25,11,0.92,0.08,0.0,0.2727272727272727,1.0
ur3,5,full,3,0.7100000000000001,25,11,0.92,0.08,0.0,0.2727272727272727,2.0
ur3,5,proposed_lite,1,0.32,25,11,0.88,0.12,0.0,1.0,0.0
ur3,5,proposed_lite,2,0.32,25,11,0.88,0.12,0.0,1.0,1.0
ur3,5,proposed_lite,3,0.32,25,11,0.88,0.12,0.0,0.9090909090909091,2.0
ur3,5,lstm,1,0.33,25,11,0.88,0.12,0.0,0.5454545454545454,0.0
ur3,5,lstm,2,0.33,25,11,0.88,0.12,0.0,0.5454545454545454,1.0
ur3,5,lstm,3,0.33,25,11,0.92,0.08,0.0,0.5454545454545454,2.0
ur3,5,tcn,1,0.43,25,11,0.88,0.12,0.0,0.9090909090909091,0.0
ur3,5,tcn,2,0.43,25,11,0.88,0.12,0.0,0.7272727272727273,1.0
ur3,5,tcn,3,0.43,25,11,0.92,0.08,0.0,0.6363636363636364,2.0
ur3,5,timesnet,1,0.2,25,11,0.88,0.12,0.0,0.8181818181818182,0.0
ur3,5,timesnet,2,0.2,25,11,0.92,0.08,0.0,0.6363636363636364,1.0
