dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
cmapss_fd001,full,3,high,0.6,18,0.5280687212944031,0.04917239025235176
cmapss_fd001,full,3,low,0.6,18,-0.008252128958702087,0.05068717151880264
cmapss_fd001,full,3,random,0.6,18,0.6292147636413574,0.045185621827840805
cmapss_fd001,full,3,high,0.7,21,0.60978102684021,0.052729081362485886
cmapss_fd001,full,3,low,0.7,21,0.03398759290575981,0.044579844921827316
cmapss_fd001,full,3,random,0.7,21,0.7226106524467468,0.05047782137989998
cmapss_fd001,full,3,high,0.8,24,0.7798997163772583,0.056459736078977585
cmapss_fd001,full,3,low,0.8,24,0.1510535180568695,0.03721265494823456
cmapss_fd001,full,3,random,0.8,24,0.8005099296569824,0.05417338386178017
cmapss_fd001,full,3,high,0.9,27,0.8882880210876465,0.060645587742328644
cmapss_fd001,full,3,low,0.9,27,0.753232479095459,0.0508052296936512
cmapss_fd001,full,3,random,0.9,27,0.8854971528053284,0.0588202178478241
cmapss_fd001,full,3,high,1.0,30,0.9106655716896057,0.05950232222676277
cmapss_fd001,full,3,low,1.0,30,0.9106655716896057,0.05950232222676277
cmapss_fd001,full,3,random,1.0,30,0.9106655716896057,0.05950232222676277
cmapss_fd001,full,3,randomized_attn,0.1,3,0.0850338339805603,0.023893166333436966
cmapss_fd001,full,3,randomized_attn,0.2,6,0.1500578671693802,0.035530660301446915
cmapss_fd001,full,3,randomized_attn,0.3,9,0.21204617619514465,0.045501790940761566
cmapss_fd001,full,3,randomized_attn,0.4,12,0.23556917905807495,0.052134476602077484
cmapss_fd001,full,3,randomized_attn,0.5,15,0.24219967424869537,0.05592995509505272
cmapss_fd001,full,3,randomized_attn,0.6,18,0.2488616555929184,0.05849582701921463
cmapss_fd001,full,3,randomized_attn,0.7,21,0.2666567862033844,0.058991141617298126
cmapss_fd001,full,3,randomized_attn,0.8,24,0.31258025765419006,0.052757058292627335
cmapss_fd001,full,3,randomized_attn,0.9,27,0.5574561953544617,0.04760755971074104
cmapss_fd001,full,3,randomized_attn,1.0,30,0.9106655716896057,0.05950232222676277
cmapss_fd001,full,4,high,0.1,3,0.3065073490142822,0.02063564956188202
cmapss_fd001,full,4,low,0.1,3,-0.0932999700307846,0.014422544278204441
cmapss_fd001,full,4,random,0.1,3,0.12659037113189697,0.012761610560119152
cmapss_fd001,full,4,high,0.2,6,0.48193836212158203,0.02811608836054802
cmapss_fd001,full,4,low,0.2,6,-0.11725781857967377,0.03245118632912636
