dataset,model,threshold_mode,threshold,confirm,failure_sequences,detected,early,missed,false_alarms,non_failure_sequences,detection_rate,early_rate,false_alarm_rate,mean_lead,median_lead
xjtu,full,far20,0.9500000000000001,2,4,4,2,0,0,0,1.0,0.5,0.0,-21.0,-28.0
xjtu,full,cost,0.9500000000000001,3,4,3,2,1,0,0,0.75,0.5,0.0,-30.333333333333332,-65.0
xjtu,full,far20,0.9500000000000001,3,4,3,2,1,0,0,0.75,0.5,0.0,-30.333333333333332,-65.0
xjtu,proposed_lite,cost,0.88,1,4,3,2,1,0,0,0.75,0.5,0.0,-29.333333333333332,-66.0
xjtu,proposed_lite,far20,0.88,1,4,3,2,1,0,0,0.75,0.5,0.0,-29.333333333333332,-66.0
xjtu,proposed_lite,cost,0.88,2,4,3,2,1,0,0,0.75,0.5,0.0,-28.333333333333332,-65.0
xjtu,proposed_lite,far20,0.88,2,4,3,2,1,0,0,0.75,0.5,0.0,-28.333333333333332,-65.0
xjtu,proposed_lite,cost,0.88,3,4,3,2,1,0,0,0.75,0.5,0.0,-27.333333333333332,-64.0
xjtu,proposed_lite,far20,0.88,3,4,3,2,1,0,0,0.75,0.5,0.0,-27.333333333333332,-64.0
xjtu,lstm,cost,0.9600000000000001,1,4,4,2,0,0,0,1.0,0.5,0.0,-25.25,-33.0
xjtu,lstm,far20,0.9600000000000001,1,4,4,2,0,0,0,1.0,0.5,0.0,-25.25,-33.0
xjtu,lstm,cost,0.9600000000000001,2,4,4,2,0,0,0,1.0,0.5,0.0,-24.25,-32.0
xjtu,lstm,far20,0.9600000000000001,2,4,4,2,0,0,0,1.0,0.5,0.0,-24.25,-32.0
xjtu,lstm,cost,0.9600000000000001,3,4,4,2,0,0,0,1.0,0.5,0.0,-23.25,-31.0
xjtu,lstm,far20,0.9600000000000001,3,4,4,2,0,0,0,1.0,0.5,0.0,-23.25,-31.0
xjtu,tcn,cost,0.9600000000000001,1,4,4,2,0,0,0,1.0,0.5,0.0,-22.5,-34.0
xjtu,tcn,far20,0.9600000000000001,1,4,4,2,0,0,0,1.0,0.5,0.0,-22.5,-34.0
xjtu,tcn,cost,0.9600000000000001,2,4,4,2,0,0,0,1.0,0.5,0.0,-21.5,-33.0
xjtu,tcn,far20,0.9600000000000001,2,4,4,2,0,0,0,1.0,0.5,0.0,-21.5,-33.0
xjtu,tcn,cost,0.9600000000000001,3,4,4,2,0,0,0,1.0,0.5,0.0,-20.5,-32.0
xjtu,tcn,far20,0.9600000000000001,3,4,4,2,0,0,0,1.0,0.5,0.0,-20.5,-32.0
xjtu,timesnet,cost,0.76,1,4,4,3,0,0,0,1.0,0.75,0.0,-43.0,-37.5
xjtu,timesnet,far20,0.76,1,4,4,3,0,0,0,1.0,0.75,0.0,-43.0,-37.5
xjtu,timesnet,cost,0.76,2,4,4,3,0,0,0,1.0,0.75,0.0,-42.0,-36.5
xjtu,timesnet,far20,0.76,2,4,4,3,0,0,0,1.0,0.75,0.0,-42.0,-36.5
xjtu,timesnet,cost,0.76,3,4,4,3,0,0,0,1.0,0.75,0.0,-41.0,-35.5
xjtu,timesnet,far20,0.76,3,4,4,3,0,0,0,1.0,0.75,0.0,-41.0,-35.5
xjtu,patchtst,cost,0.77,1,4,4,3,0,0,0,1.0,0.75,0.0,-37.0,-36.0
xjtu,patchtst,far20,0.77,1,4,4,3,0,0,0,1.0,0.75,0.0,-37.0,-36.0
xjtu,patchtst,cost,0.77,2,4,4,2,0,0,0,1.0,0.5,0.0,-33.5,-34.0
xjtu,patchtst,far20,0.77,2,4,4,2,0,0,0,1.0,0.5,0.0,-33.5,-34.0
xjtu,patchtst,cost,0.77,3,4,4,2,0,0,0,1.0,0.5,0.0,-31.75,-33.0
xjtu,patchtst,far20,0.77,3,4,4,2,0,0,0,1.0,0.5,0.0,-31.75,-33.0
xjtu,gradient_boosting,cost,0.93,1,4,4,3,0,0,0,1.0,0.75,0.0,-18.5,-34.0
xjtu,gradient_boosting,far20,0.93,1,4,4,3,0,0,0,1.0,0.75,0.0,-18.5,-34.0
xjtu,gradient_boosting,cost,0.93,2,4,4,3,0,0,0,1.0,0.75,0.0,-17.5,-33.0
xjtu,gradient_boosting,far20,0.93,2,4,4,3,0,0,0,1.0,0.75,0.0,-17.5,-33.0
xjtu,gradient_boosting,cost,0.93,3,4,4,3,0,0,0,1.0,0.75,0.0,-16.5,-32.0
xjtu,gradient_boosting,far20,0.93,3,4,4,3,0,0,0,1.0,0.75,0.0,-16.5,-32.0
