model,family,seed,n,pos,neg,accuracy,precision,recall,f1,f2,auc_roc,auc_pr,brier,ece,threshold,dataset
random_forest,machine learning,8,800,177,623,0.68125,0.2947368421052631,0.3163841807909605,0.3051771117166212,0.311804008908686,0.5299489439653218,0.2379695321876977,0.2359015130551644,0.2041702023089461,0.5,xjtu
gradient_boosting,machine learning,8,800,177,623,0.77875,0.5,0.6892655367231638,0.5795724465558195,0.6407563025210085,0.6681085688893724,0.3987728214896656,0.2411499402132028,0.2369205235130739,0.93,xjtu
random_forest,machine learning,9,800,177,623,0.6875,0.2550335570469799,0.2146892655367231,0.2331288343558282,0.2217036172695449,0.558324491480081,0.2591251347758844,0.2217104707783942,0.2030707439058869,0.59,xjtu
gradient_boosting,machine learning,9,800,177,623,0.77875,0.5,0.6892655367231638,0.5795724465558195,0.6407563025210085,0.6681085688893724,0.3987728214896656,0.2411499402132028,0.2369205235130739,0.93,xjtu
random_forest,machine learning,10,800,177,623,0.69375,0.2848101265822785,0.2542372881355932,0.2686567164179104,0.2598152424942263,0.5465716280799122,0.2514932666643017,0.22452511156724,0.1943489202923421,0.56,xjtu
gradient_boosting,machine learning,10,800,177,623,0.77875,0.5,0.6892655367231638,0.5795724465558195,0.6407563025210085,0.6681085688893724,0.3987728214896656,0.2411499402132028,0.2369205235130739,0.93,xjtu
full,proposed/ablation,1,10196,332,9864,0.980580619850922,0.634,0.9548192771084336,0.7620192307692307,0.8670678336980306,0.9948370122827076,0.8768814767720052,0.0114347167753064,0.0114129565558631,0.28,cmapss_fd001
full,proposed/ablation,2,10196,332,9864,0.97695174578266,0.5920303605313093,0.9397590361445785,0.7264260768335273,0.8409703504043127,0.9938821588055384,0.8328721829936223,0.017447367475449,0.0195284516619289,0.47,cmapss_fd001
full,proposed/ablation,3,10196,332,9864,0.97861906630051,0.6087786259541985,0.960843373493976,0.7453271028037384,0.8612311015118791,0.9950458769384104,0.8740289553635519,0.0174048667265943,0.0255837631304066,0.54,cmapss_fd001
full,proposed/ablation,4,10196,332,9864,0.9839152608866222,0.7009569377990431,0.8825301204819277,0.7813333333333333,0.8390607101947308,0.9933749596927858,0.847488796926767,0.0122323964869713,0.0089034157135699,0.44,cmapss_fd001
full,proposed/ablation,5,10196,332,9864,0.979109454688113,0.6142034548944337,0.963855421686747,0.7502930832356389,0.8653326122228231,0.9939618571610044,0.8421718730073713,0.0154402081528226,0.0191787448732245,0.47,cmapss_fd001
full,proposed/ablation,6,10196,332,9864,0.9764613573950568,0.5842490842490843,0.960843373493976,0.7266514806378133,0.8511205976520811,0.993607031532456,0.8641816790998721,0.0130295342911877,0.0116317835118528,0.16,cmapss_fd001
full,proposed/ablation,7,10196,332,9864,0.9788152216555512,0.6141732283464567,0.9397590361445785,0.7428571428571429,0.8496732026143791,0.992382852578196,0.8530640627652002,0.0115193692483668,0.0108337487572873,0.26,cmapss_fd001
full,proposed/ablation,8,10196,332,9864,0.9830325617889368,0.6794582392776524,0.9066265060240964,0.7767741935483871,0.849802371541502,0.9953890989749752,0.8763545837921135,0.0124545058161032,0.0112135876619566,0.47,cmapss_fd001
full,proposed/ablation,9,10196,332,9864,0.984209493919184,0.7060240963855422,0.8825301204819277,0.784471218206158,0.840504876649455,0.9920500127028796,0.854754813206982,0.0118274546592067,0.0119667844702067,0.52,cmapss_fd001
full,proposed/ablation,10,10196,332,9864,0.9811690859160456,0.6446280991735537,0.9397590361445785,0.7647058823529411,0.8609271523178808,0.9947567032118744,0.8368273194026433,0.0144338713935526,0.0152096737659561,0.5,cmapss_fd001
proposed_lite,proposed/ablation,1,10196,332,9864,0.9797959984307572,0.6412556053811659,0.8614457831325302,0.7352185089974294,0.8060879368658399,0.991746487165206,0.8311036172044444,0.0152624643127024,0.0159221562605699,0.56,cmapss_fd001
proposed_lite,proposed/ablation,2,10196,332,9864,0.9772459788152216,0.6077586206896551,0.8493975903614458,0.7085427135678392,0.7868303571428571,0.9894361509297532,0.8263676311661694,0.0154116748960042,0.0166466201826558,0.44,cmapss_fd001
proposed_lite,proposed/ablation,3,10196,332,9864,0.9752844252648096,0.5719424460431655,0.9578313253012049,0.7162162162162162,0.8439490445859873,0.9926585905666462,0.8141994154577343,0.0193061462414716,0.0251450215185626,0.5700000000000001,cmapss_fd001
proposed_lite,proposed/ablation,4,10196,332,9864,0.9820517850137308,0.6720554272517321,0.8765060240963856,0.7607843137254902,0.8262350936967632,0.9933502257203998,0.8525767956580413,0.0152658197616532,0.0136332936992699,0.63,cmapss_fd001
proposed_lite,proposed/ablation,5,10196,332,9864,0.9753825029423304,0.5768500948766604,0.9156626506024096,0.7077997671711292,0.8194070080862533,0.9894932528166192,0.7769935440418632,0.0157325080589324,0.0144469612837056,0.32,cmapss_fd001
proposed_lite,proposed/ablation,6,10196,332,9864,0.9804825421734014,0.654292343387471,0.8493975903614458,0.7391874180865007,0.801591813530415,0.9902444327187092,0.804390865239354,0.017025929793887,0.0195944073836353,0.68,cmapss_fd001
proposed_lite,proposed/ablation,7,10196,332,9864,0.98028638681836,0.6601466992665037,0.8132530120481928,0.728744939271255,0.7772020725388601,0.9885151921554832,0.8190772565813624,0.0143576021317131,0.0118903120631745,0.56,cmapss_fd001
proposed_lite,proposed/ablation,8,10196,332,9864,0.980090231463319,0.6292585170340681,0.9457831325301204,0.7557160048134778,0.8593322386425835,0.992637215528782,0.8687722862797113,0.0124375881343799,0.0117449572065237,0.21,cmapss_fd001
proposed_lite,proposed/ablation,9,10196,332,9864,0.9792075323656336,0.6219512195121951,0.9216867469879518,0.7427184466019418,0.8406593406593407,0.993257549663374,0.8702744043466906,0.011359073467094,0.0113289894861954,0.21,cmapss_fd001
proposed_lite,proposed/ablation,10,10196,332,9864,0.9833267948214988,0.6956521739130435,0.8674698795180723,0.7721179624664879,0.8266360505166476,0.9926607280704326,0.8396735929402567,0.0138333864049973,0.0180996477101257,0.64,cmapss_fd001
lstm,deep baseline,1,10196,332,9864,0.9846018046292664,0.6865671641791045,0.9698795180722892,0.8039950062421972,0.895937673900946,0.9970108536335122,0.9201263237791656,0.0088991137464549,0.0065236364750078,0.18,cmapss_fd001
lstm,deep baseline,2,10196,332,9864,0.9831306394664574,0.6731601731601732,0.9367469879518072,0.783375314861461,0.8687150837988827,0.9960724894712673,0.9001985814401312,0.013170807488348,0.0146244773091235,0.54,cmapss_fd001
lstm,deep baseline,3,10196,332,9864,0.983228717143978,0.6939759036144578,0.8674698795180723,0.7710843373493976,0.8261617900172117,0.9951951968457772,0.8795439495161814,0.0144806525477825,0.0166529197808594,0.67,cmapss_fd001
lstm,deep baseline,4,10196,332,9864,0.9829344841114164,0.6763392857142857,0.9126506024096386,0.7769230769230769,0.8530405405405406,0.9949212910034296,0.8982620231071622,0.0128834537754557,0.0124704404641134,0.51,cmapss_fd001
lstm,deep baseline,5,10196,332,9864,0.9874460572773636,0.8248407643312102,0.7801204819277109,0.8018575851393189,0.7886723507917174,0.9949502999833886,0.8973643026552156,0.0104827845307828,0.0180441340560911,0.7100000000000001,cmapss_fd001
lstm,deep baseline,6,10196,332,9864,0.985876814437034,0.735,0.8855421686746988,0.8032786885245902,0.8506944444444444,0.9965201438356832,0.9176872918539676,0.0110102584448272,0.0102151039923497,0.55,cmapss_fd001
lstm,deep baseline,7,10196,332,9864,0.98685759121224,0.8132911392405063,0.7740963855421686,0.7932098765432098,0.7816301703163017,0.9958068282863816,0.8960015503164701,0.0098898396207744,0.0081491378591684,0.7000000000000001,cmapss_fd001
lstm,deep baseline,8,10196,332,9864,0.9873479795998432,0.7706666666666667,0.8704819277108434,0.8175388967468176,0.8485026423957722,0.9956104832957132,0.899269726101589,0.0094540881397352,0.0059388267913893,0.46,cmapss_fd001
lstm,deep baseline,9,10196,332,9864,0.987838367987446,0.7921348314606742,0.8493975903614458,0.8197674418604651,0.83729216152019,0.9968178675773652,0.9161699175789207,0.0100152599427064,0.0101689246873451,0.73,cmapss_fd001
lstm,deep baseline,10,10196,332,9864,0.983228717143978,0.6842105263157895,0.9006024096385542,0.7776332899869961,0.8470254957507082,0.995983630385288,0.8926121986422281,0.0116870515374341,0.011141609676569,0.4,cmapss_fd001
full,proposed/ablation,1,13696,291,13405,0.9898510514018692,0.6818181818181818,0.979381443298969,0.8039492242595204,0.9007585335018964,0.9982955018835614,0.9226466786414932,0.0094035580260006,0.0121577997248418,0.65,cmapss_fd003
full,proposed/ablation,2,13696,291,13405,0.9917494158878504,0.7367021276595744,0.9518900343642612,0.8305847076461769,0.8993506493506493,0.991101950726187,0.937774024706798,0.0059012027157464,0.0069411620252989,0.46,cmapss_fd003
full,proposed/ablation,3,13696,291,13405,0.9889018691588785,0.6674698795180722,0.9518900343642612,0.7847025495750708,0.8771374287523749,0.9905680934051636,0.9196685033197044,0.0110510468272062,0.0124235239563349,0.77,cmapss_fd003
full,proposed/ablation,4,13696,291,13405,0.9899970794392524,0.6896551724137931,0.9621993127147768,0.8034433285509326,0.89171974522293,0.9945447856944184,0.9198123680491544,0.0062044831732854,0.0060713828192194,0.3,cmapss_fd003
full,proposed/ablation,5,13696,291,13405,0.991457359813084,0.7313829787234043,0.9450171821305842,0.8245877061469266,0.8928571428571429,0.9955743035821634,0.9194797986817445,0.0063801908030078,0.0076855089137097,0.52,cmapss_fd003
full,proposed/ablation,6,13696,291,13405,0.9877336448598132,0.6440281030444965,0.9450171821305842,0.766016713091922,0.8642363293526084,0.9869205597234452,0.8427604056754566,0.0094889335119738,0.0129001011983941,0.5,cmapss_fd003
full,proposed/ablation,7,13696,291,13405,0.9905081775700936,0.7037974683544304,0.9553264604810996,0.8104956268221575,0.8915971776779987,0.998117079460785,0.9366822229069652,0.0056416231245136,0.005805206237183,0.25,cmapss_fd003
full,proposed/ablation,8,13696,291,13405,0.9916033878504672,0.7365591397849462,0.9415807560137456,0.8265460030165912,0.8919270833333334,0.9940500223668914,0.9448288283478652,0.0060633681191496,0.0059097994037465,0.51,cmapss_fd003
full,proposed/ablation,9,13696,291,13405,0.9910192757009346,0.7153846153846154,0.9587628865979382,0.8193832599118943,0.8976833976833977,0.994616564830018,0.9055361849483564,0.0076009141432916,0.0110111997136784,0.6,cmapss_fd003
full,proposed/ablation,10,13696,291,13405,0.9905081775700936,0.7069408740359897,0.9450171821305842,0.8088235294117647,0.8853831294269157,0.996476413504219,0.9005943533159046,0.0071990790084328,0.0083972473319284,0.52,cmapss_fd003
proposed_lite,proposed/ablation,1,13696,291,13405,0.9857622663551402,0.6043478260869565,0.9553264604810996,0.7403462050599201,0.8559113300492611,0.9932327656372768,0.8361405699621364,0.01073190691241,0.0182158679573004,0.5,cmapss_fd003
proposed_lite,proposed/ablation,2,13696,291,13405,0.9902161214953272,0.710455764075067,0.9106529209621992,0.7981927710843374,0.8620689655172413,0.9937995644544592,0.8871380197307066,0.008398611696419,0.0121651978010831,0.53,cmapss_fd003
proposed_lite,proposed/ablation,3,13696,291,13405,0.9901431074766356,0.696969696969697,0.9484536082474226,0.8034934497816594,0.8846153846153846,0.9945650376648196,0.921558783428511,0.0069535718808553,0.0069984331764665,0.39,cmapss_fd003
proposed_lite,proposed/ablation,4,13696,291,13405,0.9867114485981308,0.6187363834422658,0.9759450171821306,0.7573333333333333,0.8749229821318546,0.9967063630921938,0.8880765463166332,0.0090716134248333,0.0138729691641975,0.43,cmapss_fd003
proposed_lite,proposed/ablation,5,13696,291,13405,0.9854702102803738,0.5995670995670995,0.9518900343642612,0.7357237715803453,0.8517835178351784,0.9876245079604344,0.914889865529356,0.0088502345337649,0.013922985527889,0.37,cmapss_fd003
proposed_lite,proposed/ablation,6,13696,291,13405,0.9903621495327104,0.7002518891687658,0.9553264604810996,0.8081395348837209,0.8904548366431775,0.9890603470264852,0.909476084238198,0.0072466616765511,0.0084434904453539,0.47,cmapss_fd003
proposed_lite,proposed/ablation,7,13696,291,13405,0.9837178738317756,0.5685483870967742,0.9690721649484536,0.7166454891994918,0.8493975903614458,0.9960880371098132,0.9035370592619448,0.0097483450190676,0.0117576751790268,0.23,cmapss_fd003
proposed_lite,proposed/ablation,8,13696,291,13405,0.9899970794392524,0.6925,0.9518900343642612,0.8017366136034733,0.8855498721227621,0.9936985609565084,0.9140676055643332,0.0087021165363694,0.0122225781277822,0.6,cmapss_fd003
proposed_lite,proposed/ablation,9,13696,291,13405,0.988609813084112,0.6610978520286396,0.9518900343642612,0.780281690140845,0.8749210360075805,0.9949639245755098,0.9321185848368322,0.0093585022476632,0.0113991721768245,0.5700000000000001,cmapss_fd003
proposed_lite,proposed/ablation,10,13696,291,13405,0.9891939252336448,0.6774193548387096,0.9381443298969072,0.7867435158501441,0.8710912571793236,0.9933201823702752,0.8892356256793172,0.0081780580180685,0.0121543897390251,0.59,cmapss_fd003
lstm,deep baseline,1,13696,291,13405,0.9912383177570092,0.7142857142857143,0.979381443298969,0.8260869565217391,0.9117082533589252,0.9986531157912816,0.9326262275994408,0.006234750950713,0.0082045741355274,0.47,cmapss_fd003
lstm,deep baseline,2,13696,291,13405,0.9915303738317756,0.7215189873417721,0.979381443298969,0.8309037900874635,0.914047466324567,0.9988881924603707,0.9532943094247058,0.0061938011421368,0.0076715405608393,0.46,cmapss_fd003
lstm,deep baseline,3,13696,291,13405,0.9915303738317756,0.72264631043257,0.9759450171821306,0.8304093567251462,0.912010276172126,0.9985403200067676,0.9474413732958296,0.0054879925582627,0.0071260023060204,0.38,cmapss_fd003
lstm,deep baseline,4,13696,291,13405,0.9906542056074766,0.7063291139240506,0.9587628865979382,0.8134110787172012,0.8948043617703656,0.9960911133584816,0.9119373331368348,0.00723344823183,0.0073509733307796,0.49,cmapss_fd003
lstm,deep baseline,5,13696,291,13405,0.9917494158878504,0.7305699481865285,0.9690721649484536,0.8330871491875923,0.9096774193548388,0.9982908875105586,0.9253815229991412,0.0086514002468087,0.0107022410633634,0.74,cmapss_fd003
lstm,deep baseline,6,13696,291,13405,0.9884637850467288,0.6514806378132119,0.9828178694158076,0.7835616438356164,0.8920773549594511,0.9980078726330508,0.9184926458123674,0.0060058060232884,0.0058357998187968,0.17,cmapss_fd003
lstm,deep baseline,7,13696,291,13405,0.9902891355140186,0.6965174129353234,0.9621993127147768,0.8080808080808081,0.8939974457215837,0.9983195991647984,0.9391086501689556,0.0067504827294826,0.0066541491200525,0.37,cmapss_fd003
lstm,deep baseline,8,13696,291,13405,0.9902161214953272,0.6928746928746928,0.9690721649484536,0.8080229226361032,0.8975175047740293,0.9974556859970444,0.9321931343466084,0.0060990639816201,0.0058356170911325,0.32,cmapss_fd003
lstm,deep baseline,9,13696,291,13405,0.9904351635514018,0.6932367149758454,0.986254295532646,0.8141843971631205,0.9093789607097592,0.9984054777734624,0.9340831906805286,0.0070555875051278,0.0084478176538489,0.41,cmapss_fd003
lstm,deep baseline,10,13696,291,13405,0.9906542056074766,0.7042606516290727,0.9656357388316152,0.8144927536231884,0.8989123480486244,0.9979345553731168,0.9220534626684802,0.0067594181745892,0.0070538170816307,0.28,cmapss_fd003
full,proposed/ablation,1,800,177,623,0.69875,0.3823529411764705,0.5875706214689266,0.4632516703786191,0.5306122448979592,0.6590581385858476,0.3193507229051447,0.2652506881230822,0.2192006109841168,0.88,xjtu
