dataset,model,kind,seed,params,units_1,units_2,channels,threshold,f2,auc_roc,auc_pr,brier,ece
cmapss_fd001,matched_gru,gru,3,9632,29,29,0,0.5,0.8725602755453502,0.9972722398108248,0.9295732319198924,0.009680486327345583,0.010405071841888259
cmapss_fd001,matched_gru,gru,4,9632,29,29,0,0.29000000000000004,0.8704115684093437,0.9963665489207438,0.916364325322839,0.010106653011369407,0.009932925229363815
cmapss_fd001,matched_gru,gru,5,9632,29,29,0,0.34,0.8745031232254401,0.9971213931150392,0.9261897784273309,0.008722576691702028,0.00623636090228593
cmapss_fd001,matched_gru,gru,6,9632,29,29,0,0.53,0.8655510675129833,0.9963903668200784,0.918129777725373,0.010126005175891245,0.009486758122049826
cmapss_fd001,matched_gru,gru,7,9632,29,29,0,0.54,0.8780630105017503,0.9966257975942701,0.9201175916630285,0.00924216540098462,0.007386080622989993
cmapss_fd001,matched_gru,gru,8,9632,29,29,0,0.32,0.8375350140056023,0.9954559723077223,0.8990933597363137,0.011048709090153371,0.010311764145554795
cmapss_fd001,matched_gru,gru,9,9632,29,29,0,0.7000000000000001,0.8522050059594756,0.9967561853252426,0.925833490130435,0.008981776111244838,0.006827624812839125
cmapss_fd001,matched_gru,gru,10,9632,29,29,0,0.55,0.8338209479227618,0.9960190518766062,0.9039790178150945,0.010221807027255074,0.007935787299366595
cmapss_fd001,matched_tcn,tcn,1,8992,0,0,17,0.55,0.8468872686483455,0.9936839816687676,0.9086830191455553,0.013106649637077186,0.0169797478855106
cmapss_fd001,matched_tcn,tcn,2,8992,0,0,17,0.33,0.8913412563667232,0.9972246040121557,0.9337615780465088,0.007692415078818406,0.006624811069650568
cmapss_fd001,matched_tcn,tcn,3,8992,0,0,17,0.24000000000000002,0.8694444444444445,0.9962822702000215,0.9122494421442693,0.009073339364979874,0.006342418493347503
cmapss_fd001,matched_tcn,tcn,4,8992,0,0,17,0.4,0.8796561604584527,0.9973210970402291,0.9392957299911306,0.008088153456762212,0.006938079177467177
cmapss_fd001,matched_tcn,tcn,5,8992,0,0,17,0.45,0.8576233183856502,0.9958865266418472,0.9116875452625869,0.011285614394509473,0.01306423332257925
cmapss_fd001,matched_tcn,tcn,6,8992,0,0,17,0.5,0.8309699376063528,0.9842844614467603,0.8876980320222355,0.012885016438545482,0.014683643357883797
cmapss_fd001,matched_tcn,tcn,7,8992,0,0,17,0.49,0.8521165475536009,0.9959362999443027,0.9134861293005864,0.01340839674593835,0.017919109294994084
cmapss_fd001,matched_tcn,tcn,8,8992,0,0,17,0.55,0.8825182686902754,0.9970465804825139,0.9237314810145584,0.011136110366815942,0.01678694587406582
cmapss_fd001,matched_tcn,tcn,9,8992,0,0,17,0.42000000000000004,0.863431151241535,0.9954745991264327,0.9151146963375664,0.010271427827687156,0.009857951982046663
cmapss_fd001,matched_tcn,tcn,10,8992,0,0,17,0.29000000000000004,0.8314220183486238,0.9930106679760404,0.9086728634419139,0.009151784656352956,0.0053274552872632445
cmapss_fd003,matched_lstm,lstm,1,9413,25,24,0,0.38,0.9001895135818067,0.9987653988676842,0.9468729014904904,0.006594899950592456,0.010441507793568285
cmapss_fd003,matched_lstm,lstm,2,9413,25,24,0,0.62,0.8829365079365079,0.9980250483547837,0.9161561688471921,0.0066025252850564105,0.00855170509456461
cmapss_fd003,matched_lstm,lstm,3,9413,25,24,0,0.51,0.9070796460176991,0.9992070969056783,0.9663188624871257,0.007312678530024412,0.011560283343225529
