dataset,model,uncertainty,replicate,seed,target_coverage,actual_coverage,risk,n_kept,n_test_windows
cmapss_fd001,full,mc_dropout,seed,5,0.7,0.8637701059238917,0.00022709208584080845,8807,10196
cmapss_fd001,full,mc_dropout,seed,5,0.75,0.9005492349941153,0.0005445436724025267,9182,10196
cmapss_fd001,full,mc_dropout,seed,5,0.8,0.9220282463711259,0.001595574938836294,9401,10196
cmapss_fd001,full,mc_dropout,seed,5,0.85,0.9447822675559043,0.004048582995951417,9633,10196
cmapss_fd001,full,mc_dropout,seed,5,0.9,0.9612593173793644,0.007550249974492398,9801,10196
cmapss_fd001,full,mc_dropout,seed,5,0.95,0.9788152216555512,0.013226452905811623,9980,10196
cmapss_fd001,full,mc_dropout,seed,5,1.0,1.0,0.019811690859160454,10196,10196
cmapss_fd001,full,confidence,seed,5,0.5,0.6697724597881523,0.0,6829,10196
cmapss_fd001,full,confidence,seed,5,0.55,0.710180462926638,0.0,7241,10196
cmapss_fd001,full,confidence,seed,5,0.6,0.755590427618674,0.0,7704,10196
cmapss_fd001,full,confidence,seed,5,0.65,0.809042761867399,0.0001212268153715602,8249,10196
cmapss_fd001,full,confidence,seed,5,0.7,0.8715182424480188,0.00011253657438667567,8886,10196
cmapss_fd001,full,confidence,seed,5,0.75,0.901137701059239,0.00021767522855898998,9188,10196
cmapss_fd001,full,confidence,seed,5,0.8,0.9213417026284818,0.0014903129657228018,9394,10196
cmapss_fd001,full,confidence,seed,5,0.85,0.9449784229109455,0.0038401660612350803,9635,10196
cmapss_fd001,full,confidence,seed,5,0.9,0.9595919968615143,0.006541291905151268,9784,10196
cmapss_fd001,full,confidence,seed,5,0.95,0.9792075323656336,0.01312099358974359,9984,10196
cmapss_fd001,full,confidence,seed,5,1.0,1.0,0.019811690859160454,10196,10196
cmapss_fd001,full,seed_ensemble,ensemble,0,0.5,0.6485876814437034,0.0,6613,10196
cmapss_fd001,full,seed_ensemble,ensemble,0,0.55,0.6945861122008631,0.0,7082,10196
cmapss_fd001,full,seed_ensemble,ensemble,0,0.6,0.7494115339348765,0.0,7641,10196
cmapss_fd001,full,seed_ensemble,ensemble,0,0.65,0.8095331502550019,0.0,8254,10196
cmapss_fd001,full,seed_ensemble,ensemble,0,0.7,0.8530796390741467,0.0,8698,10196
cmapss_fd001,full,seed_ensemble,ensemble,0,0.75,0.8841702628481758,0.00011092623405435385,9015,10196
cmapss_fd001,full,seed_ensemble,ensemble,0,0.8,0.9151628089446842,0.0007501875468867217,9331,10196
