dataset,model_type,seed,method,fraction,k,drop_pos,drop_all_abs
xjtu,full,2,low,1.0,20,0.4856923818588257,0.2667819857597351
xjtu,full,2,random,1.0,20,0.4856923818588257,0.2667819857597351
xjtu,full,2,randomized_attn,0.1,2,0.014080789871513844,0.006526838522404432
xjtu,full,2,randomized_attn,0.2,4,0.019520465284585953,0.011826090514659882
xjtu,full,2,randomized_attn,0.3,6,0.022029859945178032,0.021723128855228424
xjtu,full,2,randomized_attn,0.4,8,0.03241190314292908,0.028228579089045525
xjtu,full,2,randomized_attn,0.5,10,0.038954347372055054,0.03349338099360466
xjtu,full,2,randomized_attn,0.6,12,0.05576156824827194,0.04064740985631943
xjtu,full,2,randomized_attn,0.7,14,0.08573364466428757,0.050488729029893875
xjtu,full,2,randomized_attn,0.8,16,0.11963765323162079,0.06019889935851097
xjtu,full,2,randomized_attn,0.9,18,0.17140908539295197,0.0855843722820282
xjtu,full,2,randomized_attn,1.0,20,0.4856923818588257,0.2667819857597351
xjtu,full,3,high,0.1,2,0.0003942959301639348,0.002050626091659069
xjtu,full,3,low,0.1,2,-0.003490398870781064,0.028721755370497704
xjtu,full,3,random,0.1,2,0.0011951151536777616,0.01364715676754713
xjtu,full,3,high,0.2,4,0.0010806149803102016,0.002964020473882556
xjtu,full,3,low,0.2,4,-0.0032977191731333733,0.035896919667720795
xjtu,full,3,random,0.2,4,0.005734060890972614,0.018613923341035843
xjtu,full,3,high,0.3,6,0.0016303077572956681,0.00504206120967865
xjtu,full,3,low,0.3,6,0.0021278082858771086,0.05241928994655609
xjtu,full,3,random,0.3,6,0.003854104084894061,0.026328418403863907
xjtu,full,3,high,0.4,8,0.004492755979299545,0.008637470193207264
xjtu,full,3,low,0.4,8,0.03434278815984726,0.075027696788311
xjtu,full,3,random,0.4,8,0.0013449753168970346,0.027340926229953766
xjtu,full,3,high,0.5,10,0.0061723836697638035,0.011783458292484283
xjtu,full,3,low,0.5,10,0.09731362760066986,0.12331652641296387
xjtu,full,3,random,0.5,10,0.007666655816137791,0.03594392165541649
xjtu,full,3,high,0.6,12,0.013200422748923302,0.016696710139513016
xjtu,full,3,low,0.6,12,0.1833546906709671,0.17283371090888977
xjtu,full,3,random,0.6,12,0.018447469919919968,0.03871805965900421
xjtu,full,3,high,0.7,14,0.02983647771179676,0.025945689529180527
xjtu,full,3,low,0.7,14,0.26418206095695496,0.21180389821529388
xjtu,full,3,random,0.7,14,0.03666609153151512,0.058287519961595535
xjtu,full,3,high,0.8,16,0.04719243943691254,0.03556513786315918
xjtu,full,3,low,0.8,16,0.33731767535209656,0.2539656162261963
xjtu,full,3,random,0.8,16,0.05809204652905464,0.06950566172599792
xjtu,full,3,high,0.9,18,0.06006690859794617,0.05324497073888779
xjtu,full,3,low,0.9,18,0.4208241403102875,0.282968670129776
xjtu,full,3,random,0.9,18,0.13911347091197968,0.1421528458595276
xjtu,full,3,high,1.0,20,0.5235282182693481,0.3101508319377899
xjtu,full,3,low,1.0,20,0.5235282182693481,0.3101508319377899
xjtu,full,3,random,1.0,20,0.5235282182693481,0.3101508319377899
xjtu,full,3,randomized_attn,0.1,2,0.012004523538053036,0.017157407477498055
xjtu,full,3,randomized_attn,0.2,4,0.018407007679343224,0.02458225190639496
xjtu,full,3,randomized_attn,0.3,6,0.025082534179091454,0.03766864165663719
xjtu,full,3,randomized_attn,0.4,8,0.04172395542263985,0.05870973691344261
xjtu,full,3,randomized_attn,0.5,10,0.06847277283668518,0.08642654120922089
xjtu,full,3,randomized_attn,0.6,12,0.11136147379875183,0.11010482907295227
xjtu,full,3,randomized_attn,0.7,14,0.18437297642230988,0.14419490098953247
xjtu,full,3,randomized_attn,0.8,16,0.2507826089859009,0.18415065109729767
xjtu,full,3,randomized_attn,0.9,18,0.3818642199039459,0.24502408504486084
xjtu,full,3,randomized_attn,1.0,20,0.5235282182693481,0.3101508319377899
xjtu,full,4,high,0.1,2,0.0003229711146559566,0.0005418404471129179
xjtu,full,4,low,0.1,2,0.036331359297037125,0.016205456107854843
xjtu,full,4,random,0.1,2,0.01689601130783558,0.006645194720476866
xjtu,full,4,high,0.2,4,0.001172392163425684,0.0010714053642004728
xjtu,full,4,low,0.2,4,0.04448564350605011,0.023864684626460075
xjtu,full,4,random,0.2,4,0.026295645162463188,0.01282146479934454
xjtu,full,4,high,0.3,6,0.0011761196656152606,0.001840546727180481
xjtu,full,4,low,0.3,6,0.05136285722255707,0.032944463193416595
xjtu,full,4,random,0.3,6,0.031022969633340836,0.01746600866317749
xjtu,full,4,high,0.4,8,0.0014365077950060368,0.002460266463458538
xjtu,full,4,low,0.4,8,0.041328463703393936,0.03363362327218056
xjtu,full,4,random,0.4,8,0.028355814516544342,0.02006382867693901
xjtu,full,4,high,0.5,10,0.004006173461675644,0.004035893827676773
xjtu,full,4,low,0.5,10,0.029184630140662193,0.039289385080337524
xjtu,full,4,random,0.5,10,0.04263935983181,0.02460566721856594
xjtu,full,4,high,0.6,12,0.009478188119828701,0.006863847840577364
xjtu,full,4,low,0.6,12,0.02200242690742016,0.041965845972299576
xjtu,full,4,random,0.6,12,0.03702034428715706,0.023744048550724983
xjtu,full,4,high,0.7,14,0.020054977387189865,0.011770115233957767
xjtu,full,4,low,0.7,14,0.036955974996089935,0.05478324368596077
xjtu,full,4,random,0.7,14,0.04799390211701393,0.029775399714708328
xjtu,full,4,high,0.8,16,0.027964454144239426,0.01880074106156826
xjtu,full,4,low,0.8,16,0.18875697255134583,0.13066206872463226
xjtu,full,4,random,0.8,16,0.05391900986433029,0.041834477335214615
xjtu,full,4,high,0.9,18,0.02029356174170971,0.02821158617734909
xjtu,full,4,low,0.9,18,0.34623175859451294,0.1955079585313797
xjtu,full,4,random,0.9,18,0.10056297481060028,0.0630548819899559
xjtu,full,4,high,1.0,20,0.6409521698951721,0.33754923939704895
xjtu,full,4,low,1.0,20,0.6409521698951721,0.33754923939704895
xjtu,full,4,random,1.0,20,0.6409521698951721,0.33754923939704895
xjtu,full,4,randomized_attn,0.1,2,0.006466198712587357,0.0034858821891248226
xjtu,full,4,randomized_attn,0.2,4,0.013424327597022057,0.005562705919146538
xjtu,full,4,randomized_attn,0.3,6,0.017449170351028442,0.007284080609679222
xjtu,full,4,randomized_attn,0.4,8,0.02468441240489483,0.011594562791287899
xjtu,full,4,randomized_attn,0.5,10,0.032300885766744614,0.01548813097178936
xjtu,full,4,randomized_attn,0.6,12,0.03149385005235672,0.01994006521999836
xjtu,full,4,randomized_attn,0.7,14,0.032040394842624664,0.019635973498225212
xjtu,full,4,randomized_attn,0.8,16,0.01030001137405634,0.023460499942302704
xjtu,full,4,randomized_attn,0.9,18,0.031093833968043327,0.028958378359675407
xjtu,full,4,randomized_attn,1.0,20,0.6409521698951721,0.33754923939704895
xjtu,full,5,high,0.1,2,0.0005706893280148506,0.0003239208599552512
xjtu,full,5,low,0.1,2,-0.0046018739230930805,0.020039953291416168
xjtu,full,5,random,0.1,2,0.003312236862257123,0.00553141487762332
xjtu,full,5,high,0.2,4,0.0014959274558350444,0.0007856096490286291
xjtu,full,5,low,0.2,4,-0.0019641704857349396,0.03165154904127121
xjtu,full,5,random,0.2,4,0.005015266127884388,0.009539227932691574
xjtu,full,5,high,0.3,6,0.004280913155525923,0.0019443818600848317
xjtu,full,5,low,0.3,6,0.007852445356547832,0.04529626667499542
xjtu,full,5,random,0.3,6,-1.5724008335382678e-05,0.012204766273498535
xjtu,full,5,high,0.4,8,0.006351111456751823,0.0030895271338522434
xjtu,full,5,low,0.4,8,0.023197228088974953,0.06632771342992783
xjtu,full,5,random,0.4,8,0.007407712284475565,0.016174042597413063
xjtu,full,5,high,0.5,10,0.012461405247449875,0.006611814722418785
xjtu,full,5,low,0.5,10,0.05441945791244507,0.0916602835059166
xjtu,full,5,random,0.5,10,0.01037321612238884,0.01877361722290516
xjtu,full,5,high,0.6,12,0.015127947553992271,0.009589092805981636
xjtu,full,5,low,0.6,12,0.13334429264068604,0.12328174710273743
xjtu,full,5,random,0.6,12,0.021218901500105858,0.028703713789582253
xjtu,full,5,high,0.7,14,0.022269321605563164,0.013282649219036102
xjtu,full,5,low,0.7,14,0.18936307728290558,0.1536898910999298
xjtu,full,5,random,0.7,14,0.0317622646689415,0.03753544017672539
xjtu,full,5,high,0.8,16,0.03448311239480972,0.020877256989479065
xjtu,full,5,low,0.8,16,0.2593677043914795,0.19398711621761322
xjtu,full,5,random,0.8,16,0.061278246343135834,0.06534771621227264
xjtu,full,5,high,0.9,18,0.04050533473491669,0.03367099165916443
xjtu,full,5,low,0.9,18,0.36524808406829834,0.2433920055627823
xjtu,full,5,random,0.9,18,0.1916811168193817,0.12956181168556213
xjtu,full,5,high,1.0,20,0.46127501130104065,0.2768147587776184
xjtu,full,5,low,1.0,20,0.46127501130104065,0.2768147587776184
xjtu,full,5,random,1.0,20,0.46127501130104065,0.2768147587776184
xjtu,full,5,randomized_attn,0.1,2,0.004716618452221155,0.007080547045916319
