dataset,model,uncertainty,target_coverage,actual_coverage,risk
xjtu,full,pseudo_abs,1.0,1.0,0.3025
xjtu,full,entropy,0.5,0.64375,0.3864077669902913
xjtu,full,entropy,0.55,0.69125,0.3707052441229656
xjtu,full,entropy,0.6,0.7425,0.35858585858585856
xjtu,full,entropy,0.65,0.82625,0.34190620272314676
xjtu,full,entropy,0.7,0.975,0.2948717948717949
xjtu,full,entropy,0.75,0.9775,0.29539641943734013
xjtu,full,entropy,0.8,0.9775,0.29539641943734013
xjtu,full,entropy,0.85,0.98,0.29591836734693877
xjtu,full,entropy,0.9,0.98375,0.29733163913595934
xjtu,full,entropy,0.95,0.99,0.29924242424242425
xjtu,full,entropy,1.0,1.0,0.3025
xjtu,proposed_lite,MC,0.5,0.36125,0.4532871972318339
xjtu,proposed_lite,MC,0.55,0.41875,0.43283582089552236
xjtu,proposed_lite,MC,0.6,0.4825,0.40414507772020725
xjtu,proposed_lite,MC,0.65,0.53,0.3891509433962264
xjtu,proposed_lite,MC,0.7,0.595,0.3760504201680672
xjtu,proposed_lite,MC,0.75,0.67625,0.3678373382624769
xjtu,proposed_lite,MC,0.8,0.7575,0.35148514851485146
xjtu,proposed_lite,MC,0.85,0.82625,0.3373676248108926
xjtu,proposed_lite,MC,0.9,0.88625,0.32016925246826516
xjtu,proposed_lite,MC,0.95,0.93875,0.3195739014647137
xjtu,proposed_lite,MC,1.0,1.0,0.3125
xjtu,proposed_lite,pseudo_abs,0.5,0.81625,0.34762633996937214
xjtu,proposed_lite,pseudo_abs,0.55,0.89375,0.32447552447552447
xjtu,proposed_lite,pseudo_abs,0.6,0.94875,0.310935441370224
xjtu,proposed_lite,pseudo_abs,0.65,0.96,0.30859375
xjtu,proposed_lite,pseudo_abs,0.7,0.96375,0.3099870298313878
xjtu,proposed_lite,pseudo_abs,0.75,0.96875,0.3096774193548387
xjtu,proposed_lite,pseudo_abs,0.8,0.9725,0.30848329048843187
xjtu,proposed_lite,pseudo_abs,0.85,0.97625,0.3085787451984635
xjtu,proposed_lite,pseudo_abs,0.9,0.98125,0.30828025477707005
xjtu,proposed_lite,pseudo_abs,0.95,0.9875,0.310126582278481
xjtu,proposed_lite,pseudo_abs,1.0,1.0,0.3125
xjtu,proposed_lite,entropy,0.5,0.81625,0.34762633996937214
xjtu,proposed_lite,entropy,0.55,0.89375,0.32447552447552447
xjtu,proposed_lite,entropy,0.6,0.94875,0.310935441370224
xjtu,proposed_lite,entropy,0.65,0.96,0.30859375
xjtu,proposed_lite,entropy,0.7,0.96375,0.3099870298313878
xjtu,proposed_lite,entropy,0.75,0.96875,0.3096774193548387
xjtu,proposed_lite,entropy,0.8,0.9725,0.30848329048843187
xjtu,proposed_lite,entropy,0.85,0.97625,0.3085787451984635
xjtu,proposed_lite,entropy,0.9,0.98125,0.30828025477707005
